path,exists,is_dir,tracked,ignored,size,nfiles
/tmp/TraF-Align_partial/checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36/net_epoch60.pth,True,False,,,53336860,1
/tmp/TraF-Align_partial/datasets/Basedataset/v2xseq_basedataset.py,True,False,,,46527,1
/tmp/TraF-Align_partial/models/modules/deform/joint_delay_compensation.py,True,False,,,3172,1
/tmp/TraF-Align_partial/models/modules/deform/traf_align_fusion.py,True,False,,,12066,1
checkpoints/curated/dair_v2x/our_method/T10_n10_ckpt_15000.pth,True,False,True,False,346295,1
checkpoints/curated/dair_v2x/our_method/T10_n5_ckpt_16000.pth,True,False,True,False,346295,1
checkpoints/curated/ours_models/dair_data_ifam_feature_t10n10_ours.npz,True,False,False,True,10308,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth,True,False,False,True,1927416,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.train_metrics.csv,True,False,False,True,1157,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp_smoke.pth,True,False,False,True,1927416,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lowcomp_weighted_lr1e5_1500.pth,True,False,False,True,56317263,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lowcomp_weighted_lr1e5_1500.train_metrics.csv,True,False,False,True,763,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lr1e5_1500.pth,True,False,False,True,56317263,1
checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lr1e5_1500.train_metrics.csv,True,False,False,True,763,1
checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl,True,False,False,True,165275573,1
checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours_trainonly.pkl,True,False,False,True,200524388,1
checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours_trainval_diagnostic.pkl,True,False,False,True,269546499,1
checkpoints/curated/ours_models/dair_v2x_seq_trafalign_feature_t10n10_ours_spconv2121.npz,True,False,False,True,2521,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_bypass_comp0_spconv2121/config.yaml,True,False,False,True,4837,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_bypass_comp0_spconv2121/net_epoch1.pth,True,False,False,True,54672585,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121/config.yaml,True,False,False,True,4787,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121/net_epoch1.pth,True,False,False,True,54672585,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_scale01_spconv2121/,True,True,False,True,54677282,2
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_scale01_spconv2121/`、`scale02_spconv2121/`、`adaptive_spconv2121/,False,False,False,True,,
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121/config.yaml,True,False,False,True,4684,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121/net_epoch1.pth,True,False,False,True,54672585,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_spconv2121/train_metrics.csv,True,False,False,True,1546,1
checkpoints/curated/ours_models/trafalign_joint_delay_comp_smoke/,True,True,False,True,54677411,3
checkpoints/curated/ours_models/trafalign_joint_delay_comp_smoke/`、`trafalign_joint_delay_comp_only_smoke/,False,False,False,True,,
checkpoints/curated/ours_models/trafalign_joint_delay_comp_spconv2121/,True,True,False,True,54679762,3
checkpoints/curated/ours_models/trafalign_joint_unfreeze_*_20260722/,False,False,False,True,,
checkpoints/curated/ours_models/trafalign_joint_unfreeze_field_offset_20260722/,True,True,False,True,54677846,3
checkpoints/curated/ours_models/trafalign_joint_unfreeze_field_offset_gate06_20260722/,True,True,False,True,54678092,3
checkpoints/curated/ours_models/trafalign_joint_unfreeze_tail_head_20260722/,True,True,False,True,54677846,3
checkpoints/curated/ours_models/trafalign_joint_unfreeze_tail_head_gate06_20260722/,True,True,False,True,54678091,3
checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth,True,False,False,True,1927480,1
checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.train_metrics.csv,True,False,False,True,799,1
checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth,True,False,False,True,1927480,1
checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_smoke.pth,True,False,False,True,1927480,1
checkpoints/curated/ours_models/v2xsim_ours_prediction_model.pth,True,False,False,True,346295,1
checkpoints/dair_v2x_seq_Trafalign_2024_12_28_04_42_36/net_epoch60.pth,False,False,False,True,,
external/DAIR-V2X-isolated/gpu*/v2x,False,False,False,True,,
external/DATA/opencood/logs/official_checkpoints,True,True,False,True,54385773,2
external/LRCP/opencood/logs/dairv2x_lrcp_point_pillar_lidar_deformable_attn_stage2_2026_07_01_19_32_46/net_epoch_bestval_at1.pth,True,False,False,True,75668089,1
results/260615_fill/artifacts/dair_data_box_latefusion_fair_none_vs_rf_20260706.csv,True,False,False,False,4752,1
results/260615_fill/artifacts/dair_data_box_latefusion_fair_oldrf_comp135_20260716.csv,True,False,False,False,3214,1
results/260615_fill/artifacts/dair_data_box_latefusion_fair_rf_trainonly_20260714.csv,True,False,False,False,3400,1
results/260615_fill/artifacts/dair_data_box_latefusion_fair_rf_trainonly_comp135_20260716.csv,True,False,False,False,4930,1
results/260615_fill/artifacts/dair_data_ifam_feature_t10n10_ours_20260707.csv,True,False,False,False,2899,1
results/260615_fill/artifacts/dair_data_ifam_feature_t10n10_ours_comp135_20260716.csv,True,False,False,False,2919,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_20260713.csv,True,False,False,False,4211,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_comp135_20260716.csv,True,False,False,False,2811,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_delayaware_bypass_comp0_1_20260716.csv,True,False,False,False,7377,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_scale05_comp1_20260716.csv,True,False,False,False,1837,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lr1e5_20260716.csv,True,False,False,False,5500,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_ifam_head_lr1e5_keycells_20260716.csv,True,False,False,False,1290,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_weighted_comp1_key_20260716.csv,True,False,False,False,995,1
results/260615_fill/artifacts/dair_data_ifam_joint_delay_comp_unfreeze_weighted_otherkey_20260716.csv,True,False,False,False,993,1
results/260615_fill/artifacts/dair_data_intermediate_rf_assist_keycells_20260707.csv,True,False,False,False,551,1
results/260615_fill/artifacts/dair_data_intermediate_rf_assist_trainonly_keycells_20260714.csv,True,False,False,False,552,1
results/260615_fill/artifacts/dair_data_intermediate_rf_assist_trainonly_keycells_comp135_20260716.csv,True,False,False,False,781,1
results/260615_fill/artifacts/dair_data_strict_dual_delay_none_ours_20260706.csv,True,False,False,False,10489,1
results/260615_fill/artifacts/dair_data_strict_dual_delay_none_ours_comp135_20260716.csv,True,False,False,False,10105,1
