step,loss,gate,comp,comm,sample_idx,cav_num
1,0.599259,0.05960147,2,3,6806,1
50,2.567686,0.05956873,4,4,4225,4
100,0.545847,0.05947231,4,3,5768,3
150,0.715129,0.05950293,2,3,7243,3
200,0.074752,0.05944807,0,4,6341,3
250,0.440224,0.05950191,4,5,2084,3
300,0.912255,0.05947170,4,3,6470,1
350,0.995950,0.05944904,2,2,4532,3
400,0.924547,0.05947362,2,5,6634,4
450,0.065878,0.05950531,0,5,7943,3
500,0.375427,0.05948327,0,5,4565,3
550,0.917431,0.05943994,2,1,5921,2
600,0.417986,0.05948271,4,2,1767,5
650,1.261205,0.05944787,4,1,2461,3
700,0.261506,0.05946553,0,2,6153,3
750,0.437714,0.05954183,2,0,1599,3
800,0.043646,0.05945917,0,3,4357,2
850,0.085538,0.05947043,0,2,2069,3
900,0.808437,0.05951666,2,0,6623,3
950,0.433848,0.05954895,0,2,4132,3
1000,0.147302,0.05958367,0,4,5234,3
