method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + Ours,0,0,84.47,78.90,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm0_comp0_32_32_epoch19.yaml
DATA + Ours,1,0,83.53,76.75,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm1_comp0_32_32_epoch19.yaml
DATA + Ours,2,0,82.72,76.28,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm2_comp0_32_32_epoch19.yaml
DATA + Ours,3,0,82.21,75.46,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm3_comp0_32_32_epoch19.yaml
DATA + Ours,4,0,81.95,75.47,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm4_comp0_32_32_epoch19.yaml
DATA + Ours,5,0,81.79,75.39,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm5_comp0_32_32_epoch19.yaml
DATA + Ours,0,2,72.21,62.80,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm0_comp2_32_32_epoch19.yaml
DATA + Ours,1,2,72.28,63.20,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm1_comp2_32_32_epoch19.yaml
DATA + Ours,2,2,72.58,63.46,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm2_comp2_32_32_epoch19.yaml
DATA + Ours,3,2,72.44,63.34,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm3_comp2_32_32_epoch19.yaml
DATA + Ours,4,2,72.29,63.39,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm4_comp2_32_32_epoch19.yaml
DATA + Ours,5,2,72.35,63.36,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm5_comp2_32_32_epoch19.yaml
DATA + Ours,0,4,67.63,59.14,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm0_comp4_32_32_epoch19.yaml
DATA + Ours,1,4,68.13,59.50,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm1_comp4_32_32_epoch19.yaml
DATA + Ours,2,4,68.78,60.00,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm2_comp4_32_32_epoch19.yaml
DATA + Ours,3,4,68.82,59.80,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm3_comp4_32_32_epoch19.yaml
DATA + Ours,4,4,69.02,60.19,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm4_comp4_32_32_epoch19.yaml
DATA + Ours,5,4,68.98,60.15,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm5_comp4_32_32_epoch19.yaml
DATA + SyncNet,0,0,84.46,78.84,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp0_32_32_epoch19.yaml
DATA + SyncNet,1,0,83.51,76.74,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp0_32_32_epoch19.yaml
DATA + SyncNet,2,0,82.72,76.30,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp0_32_32_epoch19.yaml
DATA + SyncNet,3,0,82.20,75.43,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp0_32_32_epoch19.yaml
DATA + SyncNet,4,0,81.95,75.44,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp0_32_32_epoch19.yaml
DATA + SyncNet,5,0,81.80,75.41,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp0_32_32_epoch19.yaml
