method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + Ours,0,1,79.27,67.32,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm0_comp1_32_32_epoch19.yaml
DATA + Ours,1,1,77.65,67.02,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm1_comp1_32_32_epoch19.yaml
DATA + Ours,2,1,77.84,66.94,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm2_comp1_32_32_epoch19.yaml
DATA + Ours,3,1,77.65,66.84,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm3_comp1_32_32_epoch19.yaml
DATA + Ours,4,1,77.38,66.64,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm4_comp1_32_32_epoch19.yaml
DATA + Ours,5,1,77.29,66.66,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm5_comp1_32_32_epoch19.yaml
DATA + Ours,0,3,69.39,60.70,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm0_comp3_32_32_epoch19.yaml
DATA + Ours,1,3,69.79,61.33,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm1_comp3_32_32_epoch19.yaml
DATA + Ours,2,3,70.23,61.84,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm2_comp3_32_32_epoch19.yaml
DATA + Ours,3,3,70.19,61.60,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm3_comp3_32_32_epoch19.yaml
DATA + Ours,4,3,70.19,61.50,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm4_comp3_32_32_epoch19.yaml
DATA + Ours,5,3,70.42,61.89,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm5_comp3_32_32_epoch19.yaml
DATA + Ours,0,5,66.60,58.18,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm0_comp5_32_32_epoch19.yaml
DATA + Ours,1,5,67.31,58.80,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm1_comp5_32_32_epoch19.yaml
DATA + Ours,2,5,67.92,59.18,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm2_comp5_32_32_epoch19.yaml
DATA + Ours,3,5,68.22,59.28,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm3_comp5_32_32_epoch19.yaml
DATA + Ours,4,5,68.20,59.14,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm4_comp5_32_32_epoch19.yaml
DATA + Ours,5,5,68.19,59.28,,,data_v2xsim_detector_compensation,compensation_method=ours; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_ours_comm5_comp5_32_32_epoch19.yaml
DATA + SyncNet,0,1,79.23,67.36,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp1_32_32_epoch19.yaml
DATA + SyncNet,1,1,77.62,67.00,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp1_32_32_epoch19.yaml
DATA + SyncNet,2,1,77.84,66.89,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp1_32_32_epoch19.yaml
DATA + SyncNet,3,1,77.67,66.77,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp1_32_32_epoch19.yaml
DATA + SyncNet,4,1,77.37,66.61,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp1_32_32_epoch19.yaml
DATA + SyncNet,5,1,77.29,66.67,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp1_32_32_epoch19.yaml
DATA + SyncNet,0,3,69.36,60.71,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp3_32_32_epoch19.yaml
DATA + SyncNet,1,3,69.78,61.32,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp3_32_32_epoch19.yaml
DATA + SyncNet,2,3,70.27,61.82,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp3_32_32_epoch19.yaml
DATA + SyncNet,3,3,70.18,61.56,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp3_32_32_epoch19.yaml
DATA + SyncNet,4,3,70.19,61.49,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp3_32_32_epoch19.yaml
DATA + SyncNet,5,3,70.42,61.88,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp3_32_32_epoch19.yaml
DATA + SyncNet,0,5,66.59,58.19,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp5_32_32_epoch19.yaml
DATA + SyncNet,1,5,67.28,58.82,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp5_32_32_epoch19.yaml
DATA + SyncNet,2,5,67.93,59.19,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp5_32_32_epoch19.yaml
