method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + Ours joint IFAM residual,0,0,84.47,78.76,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,0,83.20,75.58,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,0,82.70,75.05,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,0,82.48,74.47,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,0,82.12,73.87,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,0,81.93,73.66,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,0,2,74.38,62.41,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,2,74.05,62.02,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,2,73.58,61.58,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,2,72.84,61.06,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,2,72.42,60.58,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,2,72.09,60.29,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,0,4,70.96,58.43,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,4,70.54,58.04,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,4,70.17,57.59,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,4,69.62,57.29,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,4,69.38,56.78,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,4,68.98,56.44,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp.pth; gate=0.059584; used=1000; skipped=0
