method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + Ours joint IFAM residual,0,0,84.47,78.89,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,0,83.55,76.70,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,0,82.82,76.21,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,0,82.32,75.48,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,0,82.07,75.60,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,0,81.88,75.28,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,0,2,72.93,63.62,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,2,72.81,63.79,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,2,73.01,63.92,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,2,72.84,63.69,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,2,72.57,63.70,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,2,72.77,63.71,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,0,4,68.70,59.89,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,4,68.94,60.28,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,4,69.38,60.31,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,4,69.28,60.21,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,4,69.51,60.56,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,4,69.46,60.65,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
