method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + Ours joint IFAM residual,0,1,79.71,67.95,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,1,77.82,67.22,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,1,78.14,67.21,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,1,77.80,67.06,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,1,77.43,66.90,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,1,77.40,66.85,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,0,3,70.52,61.65,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,3,70.67,62.04,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,3,70.86,62.19,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,3,70.74,61.96,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,3,70.74,61.99,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,3,70.90,62.40,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,0,5,67.66,58.90,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,1,5,68.10,59.36,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,2,5,68.45,59.54,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,3,5,68.74,59.66,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,4,5,68.69,59.48,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
DATA + Ours joint IFAM residual,5,5,68.68,59.65,,,data_v2xsim_joint_detector_compensation,input_compensation=ours; joint_ckpt=checkpoints/curated/ours_models/v2xsim_data_ifam_joint_delay_comp_scale01.pth; gate=0.011917; used=1000; skipped=0
