method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + SyncNet,0,0,84.47,78.87,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp0_32_32_epoch19.yaml
DATA + SyncNet,1,0,83.51,76.68,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp0_32_32_epoch19.yaml
DATA + SyncNet,2,0,82.72,76.32,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp0_32_32_epoch19.yaml
DATA + SyncNet,3,0,82.20,75.51,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp0_32_32_epoch19.yaml
DATA + SyncNet,4,0,81.96,75.40,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp0_32_32_epoch19.yaml
DATA + SyncNet,5,0,81.81,75.46,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp0_32_32_epoch19.yaml
DATA + SyncNet,0,2,72.24,62.81,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp2_32_32_epoch19.yaml
DATA + SyncNet,1,2,72.28,63.11,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp2_32_32_epoch19.yaml
DATA + SyncNet,2,2,72.59,63.50,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp2_32_32_epoch19.yaml
DATA + SyncNet,3,2,72.43,63.37,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp2_32_32_epoch19.yaml
DATA + SyncNet,4,2,72.31,63.31,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp2_32_32_epoch19.yaml
DATA + SyncNet,5,2,72.35,63.38,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp2_32_32_epoch19.yaml
DATA + SyncNet,0,4,67.66,59.24,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm0_comp4_32_32_epoch19.yaml
DATA + SyncNet,1,4,68.16,59.51,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm1_comp4_32_32_epoch19.yaml
DATA + SyncNet,2,4,68.71,60.03,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm2_comp4_32_32_epoch19.yaml
DATA + SyncNet,3,4,68.80,59.87,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm3_comp4_32_32_epoch19.yaml
DATA + SyncNet,4,4,69.01,60.20,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm4_comp4_32_32_epoch19.yaml
DATA + SyncNet,5,4,69.00,60.17,,,data_v2xsim_detector_compensation,compensation_method=syncnet; eval_file=/raid/xuyifan/v2x_code_ckpt/external/DATA/opencood/logs/DATA_v2xsim_pipeline_2026_06_10_14_27_14/eval_intermediate_syncnet_comm5_comp4_32_32_epoch19.yaml
