step,loss,gate,comp,comm,veh_id
1,1.143454,0.05960147,0,2,010768
50,1.244065,0.05978897,2,4,005748
100,2.308501,0.05982097,2,5,010517
150,0.839694,0.05993662,0,5,005715
200,1.217801,0.06001868,4,5,013081
250,0.753359,0.06014524,0,2,004990
300,1.078437,0.06020862,2,1,011450
350,1.827591,0.06036116,2,2,006810
400,1.112043,0.06051567,4,0,006201
450,1.413716,0.06062613,2,2,005004
500,1.643172,0.06065822,4,4,003761
550,2.301759,0.06074359,4,4,010265
600,2.125236,0.06085701,4,2,010658
650,1.387479,0.06088105,2,0,006906
700,1.269260,0.06106072,0,1,010544
750,1.565308,0.06117101,4,2,010435
800,3.419917,0.06123420,4,0,020206
850,0.820474,0.06142697,0,4,013607
900,1.024213,0.06138213,0,1,001968
950,1.451147,0.06143986,4,5,001882
1000,0.914642,0.06151615,2,1,013128
1050,2.144326,0.06153877,0,1,020107
1100,0.764827,0.06158609,0,2,000615
1150,2.511811,0.06148418,4,4,013554
1200,2.060549,0.06165580,0,4,008895
1250,1.221347,0.06183556,0,4,006685
1300,1.975426,0.06194028,4,4,010662
1350,1.055988,0.06202564,2,1,010636
1400,0.777647,0.06211504,2,0,005751
1450,1.266106,0.06227919,4,2,006701
1500,1.558527,0.06219243,4,0,003519
