step,loss,gate,comp,comm,veh_id,trainable_data_params
1,2.735059,0.05960147,1,5,010768,8702682
100,1.314902,0.05970481,1,5,010371,8702682
200,0.706010,0.05979241,0,2,013096,8702682
300,0.782620,0.06004433,1,5,011428,8702682
400,0.590692,0.06008432,1,0,006670,8702682
500,1.512013,0.06014280,1,2,020373,8702682
600,0.955363,0.06023273,1,2,007613,8702682
700,0.659632,0.06029821,1,2,013070,8702682
800,0.621560,0.06037815,1,3,010444,8702682
900,1.390480,0.06049455,1,5,001252,8702682
1000,2.562557,0.06054781,4,5,014102,8702682
1100,1.549556,0.06058593,3,4,015171,8702682
1200,0.823076,0.06063857,2,4,005017,8702682
1300,1.121277,0.06084602,4,5,020340,8702682
1400,0.729486,0.06079230,0,1,005067,8702682
1500,1.820518,0.06089362,5,5,010463,8702682
