step,loss,gate,comp,comm,veh_id,trainable_data_params
1,1.143454,0.05960147,0,2,010768,8702682
100,1.599676,0.05980230,3,4,006750,8702682
200,2.811046,0.05994620,5,4,009051,8702682
300,0.752084,0.06009675,0,5,005003,8702682
400,0.920268,0.06027381,2,4,008807,8702682
500,0.827215,0.06037467,1,0,006563,8702682
600,1.376837,0.06052934,2,3,020369,8702682
700,0.742311,0.06059230,0,2,000438,8702682
800,0.870843,0.06079701,2,1,013571,8702682
900,1.767675,0.06086410,3,0,005917,8702682
1000,1.667953,0.06090873,4,1,010710,8702682
1100,2.114169,0.06090204,4,1,011616,8702682
1200,1.252417,0.06094695,1,2,010365,8702682
1300,1.930867,0.06107982,4,4,010662,8702682
1400,2.214035,0.06109958,5,1,011665,8702682
1500,1.486622,0.06102465,4,0,003519,8702682
