dataset,method,comp_delay,comm_delay,ap30,ap50,ap70,skipped,total,rf_model
DAIR-V2X-C,DATA box late-fusion w/o compensation,0,0,57.8047,49.4230,37.4106,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,0,1,57.0012,46.8876,31.7321,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,0,2,55.6685,44.3650,30.7193,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,0,3,54.5069,43.4204,30.2829,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,0,4,53.6686,42.8517,29.9329,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,0,5,53.1888,42.4406,29.6135,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,2,0,38.5491,18.6619,8.5817,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,2,1,37.1141,17.8540,8.2833,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,2,2,36.3780,17.4310,8.0462,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,2,3,35.9754,17.1362,7.8465,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,2,4,35.6980,16.9188,7.6630,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,2,5,35.5378,16.6980,7.4896,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,4,0,19.9833,12.2462,6.6959,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,4,1,19.5762,11.9558,6.4984,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,4,2,19.3529,11.7818,6.3313,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,4,3,19.2005,11.5850,6.1624,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,4,4,19.1244,11.4966,6.0322,0,1783,
DAIR-V2X-C,DATA box late-fusion w/o compensation,4,5,19.0263,11.3698,5.9571,0,1783,
DAIR-V2X-C,DATA box late-fusion + Ours RF 2f,0,0,57.8047,49.4230,37.4106,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA box late-fusion + Ours RF 2f,0,1,56.5442,45.4804,30.0156,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA box late-fusion + Ours RF 2f,0,2,55.8303,44.2006,29.2579,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
