dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,0,0,0.654122804975927,0.5402968831632577,0.37470592239031564,1783,0,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,0,1,0.6150183979524111,0.4888131058339718,0.32476574517611456,1777,6,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,0,2,0.5973229411633793,0.4732374710799123,0.3204724447706395,1778,5,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,0,3,0.583683962884206,0.46673496386059976,0.3182989022805487,1777,6,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,0,4,0.5765770579265995,0.46322103929002306,0.3155197650036695,1778,5,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,0,5,0.5709723383186645,0.4595669189629585,0.31254686230204104,1778,5,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,2,0,0.294820513802202,0.12592978514941916,0.04669875443680097,1570,213,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,2,1,0.2738825111996803,0.12004115136642697,0.04577868974944132,1568,215,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,2,2,0.2657311683305648,0.1170362376924275,0.04493436285729546,1568,215,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,2,3,0.2574327646532477,0.11508755680467257,0.0436526676869362,1568,215,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,2,4,0.25257858129521366,0.1127342362322497,0.04348860898632569,1569,214,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,2,5,0.24947231040210927,0.11128329945678479,0.04228937254759712,1570,213,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,4,0,0.21956695180855973,0.1449210043596006,0.071374379481614,1498,285,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,4,1,0.21091454762265205,0.14206452746473786,0.06926220255839279,1497,286,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,4,2,0.2053455463404154,0.13876522186140214,0.06833669956414229,1497,286,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,4,3,0.20204556316082842,0.13550009757473525,0.06696035964836557,1497,286,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,4,4,0.19831790578451786,0.13320195417607106,0.06595852219416051,1497,286,merged_stats=8 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,4,5,0.19398961121447839,0.1304526142342359,0.06342136513731728,1498,285,merged_stats=8 shards
