dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,1,0,0.5434294011447074,0.2692454842329862,0.06084278378759474,1597,186,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,1,1,0.5151803655094734,0.25060206093871973,0.05878068358093808,1598,185,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,1,2,0.4931187253339995,0.24411883176229499,0.05770851327517139,1596,187,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,1,3,0.4832296448611877,0.24147557338719652,0.05675899368857594,1597,186,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,1,4,0.4712732461596905,0.23710172208499736,0.05549918142141447,1597,186,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,1,5,0.4653720831736917,0.23367964502582317,0.05463211657530902,1597,186,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,3,0,0.23077397051546789,0.12985663026575106,0.06003060978759744,1534,249,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,3,1,0.22205127918539216,0.1262415726062889,0.05879979060704169,1532,251,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,3,2,0.21364862700850706,0.1235006155913008,0.05771277284309886,1532,251,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,3,3,0.208742222489897,0.12044025695609366,0.05706922126279535,1532,251,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,3,4,0.2049976855431584,0.11794447518564037,0.05569672914617052,1532,251,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,3,5,0.2018697339291382,0.11546490167130086,0.054627212173984106,1533,250,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,5,0,0.2063809294482225,0.140875156230227,0.06957371872501276,1453,330,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,5,1,0.2014711744294937,0.13752724290109414,0.06860855203178129,1453,330,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,5,2,0.19812548933061494,0.13434467699305142,0.06781633704989135,1452,331,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,5,3,0.1950295754922104,0.13237005454514197,0.06613695088305366,1452,331,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,5,4,0.19052472809029652,0.1292743076162272,0.06437277032699676,1452,331,merged_stats=6 shards
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM-feature T10-N10,5,5,0.1857977874553673,0.1259318198807175,0.06264854430169156,1453,330,merged_stats=6 shards
