dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,0,0.6541228055642574,0.5402968998934881,0.3747059063050957,1783,0,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,1,0.618353822711623,0.4951470215493513,0.3228567328407888,1777,6,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,2,0.603281827954971,0.4730647580575893,0.31076901814040864,1778,5,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,3,0.5860085476509598,0.45936204714736545,0.30581038369609564,1777,6,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,4,0.573541928842276,0.45394544633620626,0.30291229781777423,1778,5,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,5,0.5664427859057483,0.4481647446366801,0.3006131187174928,1778,5,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,0,0.49254481594475363,0.2639842770555144,0.11181153111141658,1570,213,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,1,0.423979146676924,0.23992427668196847,0.10945567828755383,1568,215,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,2,0.40124323163874603,0.23347814954625043,0.1088514424712094,1568,215,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,3,0.3889035600681888,0.23149969884331026,0.10935915390296644,1568,215,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,4,0.38090233456832306,0.23039176342809328,0.10968423583918854,1569,214,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,5,0.375128622057869,0.22830784548925023,0.10808679856197854,1570,213,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,0,0.27848788825844134,0.19046778379469864,0.09468448636841355,1498,285,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,1,0.2697956926608007,0.18768688383845036,0.09475319422550967,1497,286,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,2,0.2622733806339644,0.18836138020130408,0.09545265995479177,1497,286,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,3,0.25895661068655734,0.1887334484246829,0.0948497862841242,1497,286,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,4,0.2564737141185935,0.18452854550872233,0.09485888234261385,1497,286,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,4,5,0.2548412260128668,0.1850652907601355,0.09368963328805084,1498,285,joint_ckpt=checkpoints/curated/ours_models/dair_data_ifam_joint_delay_comp.pth; gate=0.062192
