dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,0,0.6253955805936056,0.43236197142482263,0.15924268373965636,1597,186,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,1,0.56349753379052,0.34730412836183333,0.13891380872102538,1598,185,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,2,0.4976777924865683,0.3176891600123074,0.13508743164686668,1596,187,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,3,0.4700227026745354,0.31089832766562775,0.13371406361833063,1597,186,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,4,0.45541811502448837,0.307079408982036,0.13172250569138708,1597,186,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,5,0.4429647775033267,0.30090818437027944,0.1316881111748808,1597,186,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,0,0.3520214749923754,0.21008157561927568,0.10027059533010092,1534,249,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,1,0.3269381245866717,0.20316454168318598,0.09900608157692005,1532,251,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,2,0.3164337726906645,0.20246481010265494,0.10015180752156766,1532,251,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,3,0.31004642300547447,0.20168275881753076,0.10029237834367923,1532,251,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,4,0.3063929993657234,0.1994321446416695,0.10107609900348001,1532,251,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,5,0.3027039103535022,0.19603831739325642,0.09875144192767214,1533,250,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,5,0,0.2418541207367332,0.17256351421775526,0.08540104179601005,1453,330,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,5,1,0.23580295733700227,0.17155740399888839,0.08650334798894714,1453,330,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,5,2,0.23221087856194128,0.16936749386528824,0.08640411862223814,1452,331,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,5,3,0.23112598751615956,0.1684592607441427,0.08614527181984484,1452,331,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,5,4,0.2291625716588585,0.16859830959387798,0.08618168419346399,1452,331,merged_stats=6
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,5,5,0.22572381625509552,0.16607363977811246,0.08666454184561637,1453,330,merged_stats=6
