dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,0,0,65.4391,54.0336,37.4313,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,0,1,64.0419,51.5142,32.8180,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,0,2,61.3918,47.8483,31.3045,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,0,3,58.8254,46.0509,30.7664,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,0,4,57.0992,45.1158,30.4210,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,0,5,56.0164,44.6404,30.0499,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,1,0,61.8095,40.2389,13.2046,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,1,1,59.1573,37.4719,12.6468,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,1,2,56.9190,36.0457,12.6630,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,1,3,55.2282,35.2219,12.7324,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,1,4,54.3300,34.8075,12.7329,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,1,5,53.5931,34.5794,12.5750,,,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,2,0,49.2545,26.3984,11.1812,1570,213,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,2,1,42.3979,23.9924,10.9456,1568,215,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,2,2,40.1243,23.3478,10.8851,1568,215,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,2,3,38.8904,23.1500,10.9359,1568,215,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,2,4,38.0902,23.0392,10.9684,1569,214,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,2,5,37.5129,22.8308,10.8087,1570,213,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,3,0,35.2021,21.0082,10.0271,1534,249,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,3,1,32.6938,20.3165,9.9006,1532,251,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,3,2,31.6434,20.2465,10.0152,1532,251,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,3,3,31.0046,20.1683,10.0292,1532,251,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,3,4,30.6393,19.9432,10.1076,1532,251,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,3,5,30.2704,19.6038,9.8751,1533,250,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,4,0,27.8488,19.0468,9.4684,1498,285,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,4,1,26.9796,18.7687,9.4753,1497,286,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,4,2,26.2273,18.8361,9.5453,1497,286,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,4,3,25.8957,18.8733,9.4850,1497,286,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,4,4,25.6474,18.4529,9.4859,1497,286,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,4,5,25.4841,18.5065,9.3690,1498,285,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,5,0,24.1854,17.2564,8.5401,1453,330,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,5,1,23.5803,17.1557,8.6503,1453,330,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,5,2,23.2211,16.9367,8.6404,1452,331,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,5,3,23.1126,16.8459,8.6145,1452,331,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,5,4,22.9163,16.8598,8.6182,1452,331,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp delay-aware bypass,5,5,22.5724,16.6074,8.6665,1453,330,"delay-aware policy: bypass ours for Comp<=1, use IFAM joint delay-comp for Comp>=2"
