dataset,baseline,method,comp_delay,comm_delay,ap30,ap50,ap70,used_frames,skipped_frames,notes
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,0,0.7017133050816012,0.6006424104326911,0.402246377427695,1783,0,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,1,0.6607289318312242,0.5493185449938073,0.3610843725780644,1777,6,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,2,0.6399319226942648,0.5192137147450511,0.3444737197660996,1778,5,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,3,0.6150972735940813,0.49974430338103565,0.33878605298345243,1777,6,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,4,0.600760917966198,0.48993973067796814,0.3350839743643335,1778,5,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,0,5,0.5909600808824412,0.484614581482872,0.33176893906085786,1778,5,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,0,0.6517064931381454,0.4678933554673265,0.18183192064367465,1597,186,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,1,0.590990472375007,0.3815665953759948,0.1552892172066435,1598,185,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,2,0.521488840809883,0.34995601286285444,0.15130765404448648,1596,187,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,3,0.4910230657564121,0.33773117622465854,0.14862765714523138,1597,186,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,4,0.47387535625661453,0.3294855549370441,0.14726533844893566,1597,186,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,1,5,0.4648433588908972,0.3281098273320856,0.14937798011444722,1597,186,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,0,0.5095001147048752,0.2839594392293771,0.1211643213343445,1570,213,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,1,0.44351163258829884,0.26111991816408187,0.11871799449123065,1568,215,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,2,0.41562544491474385,0.2508020849158081,0.1163405584144556,1568,215,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,3,0.40251843174580987,0.24735561306506085,0.11847168124236565,1568,215,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,4,0.39535249533927647,0.24572806067907463,0.11858399776295994,1569,214,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,2,5,0.39096159883355674,0.24388182701327343,0.11579700710167226,1570,213,merged_stats=8
DAIR-V2X-C,DATA intermediate,DATA + Ours IFAM joint delay-comp,3,0,0.37373286269289646,0.22565085593798326,0.10829734600045086,1534,249,merged_stats=8
