dataset,method,comp_delay,comm_delay,ap30,ap50,ap70,eval_yaml,log
DAIR-V2X-C,DATA w/o compensation,0,0,65.4391,54.0336,37.4313,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp0_comm0.log
DAIR-V2X-C,DATA w/o compensation,0,1,64.0419,51.5142,32.8180,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm1_comm1_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp0_comm1.log
DAIR-V2X-C,DATA w/o compensation,0,2,61.3918,47.8483,31.3045,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm2_comm2_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp0_comm2.log
DAIR-V2X-C,DATA w/o compensation,0,3,58.8254,46.0509,30.7664,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm3_comm3_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp0_comm3.log
DAIR-V2X-C,DATA w/o compensation,0,4,57.0992,45.1158,30.4210,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm4_comm4_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp0_comm4.log
DAIR-V2X-C,DATA w/o compensation,0,5,56.0164,44.6404,30.0499,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm5_comm5_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp0_comm5.log
DAIR-V2X-C,DATA w/o compensation,2,0,44.2401,21.7362,9.0418,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm0_comm0_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp2_comm0.log
DAIR-V2X-C,DATA w/o compensation,2,1,42.5879,21.0001,9.1135,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm1_comm1_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp2_comm1.log
DAIR-V2X-C,DATA w/o compensation,2,2,41.5955,20.9174,9.4231,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm2_comm2_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp2_comm2.log
DAIR-V2X-C,DATA w/o compensation,2,3,40.6860,20.7587,9.4259,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm3_comm3_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp2_comm3.log
DAIR-V2X-C,DATA w/o compensation,2,4,39.8211,20.6342,9.3848,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm4_comm4_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp2_comm4.log
DAIR-V2X-C,DATA w/o compensation,2,5,39.4933,20.5096,9.3270,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm5_comm5_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp2_comm5.log
DAIR-V2X-C,DATA w/o compensation,4,0,24.2468,14.6451,7.4379,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm0_comm0_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp4_comm0.log
DAIR-V2X-C,DATA w/o compensation,4,1,24.1353,14.8620,7.6387,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm1_comm1_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp4_comm1.log
DAIR-V2X-C,DATA w/o compensation,4,2,24.3275,15.2246,7.7460,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm2_comm2_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp4_comm2.log
DAIR-V2X-C,DATA w/o compensation,4,3,24.3785,15.2233,7.8337,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm3_comm3_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp4_comm3.log
DAIR-V2X-C,DATA w/o compensation,4,4,24.1194,15.2526,7.8586,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm4_comm4_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp4_comm4.log
DAIR-V2X-C,DATA w/o compensation,4,5,24.1390,15.3418,7.7210,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm5_comm5_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_none_comp4_comm5.log
DAIR-V2X-C,DATA + Ours,0,0,65.4349,54.0260,37.4409,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm0_ours_comm0_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp0_comm0.log
DAIR-V2X-C,DATA + Ours,0,1,63.3931,49.9799,31.6867,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm1_ours_comm1_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp0_comm1.log
DAIR-V2X-C,DATA + Ours,0,2,60.3818,46.5451,30.2723,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm2_ours_comm2_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp0_comm2.log
DAIR-V2X-C,DATA + Ours,0,3,57.5798,44.5803,29.5337,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm3_ours_comm3_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp0_comm3.log
DAIR-V2X-C,DATA + Ours,0,4,55.7632,43.6691,28.9458,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm4_ours_comm4_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp0_comm4.log
DAIR-V2X-C,DATA + Ours,0,5,54.4233,42.7724,28.3728,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp0_comm5_ours_comm5_comp0_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp0_comm5.log
DAIR-V2X-C,DATA + Ours,2,0,43.3528,20.7573,8.4306,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm0_ours_comm0_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp2_comm0.log
DAIR-V2X-C,DATA + Ours,2,1,41.6299,20.0397,8.5113,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm1_ours_comm1_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp2_comm1.log
DAIR-V2X-C,DATA + Ours,2,2,40.4117,19.7656,8.5724,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm2_ours_comm2_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp2_comm2.log
DAIR-V2X-C,DATA + Ours,2,3,39.2199,19.5420,8.4919,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm3_ours_comm3_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp2_comm3.log
DAIR-V2X-C,DATA + Ours,2,4,38.2755,19.1083,8.4343,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm4_ours_comm4_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp2_comm4.log
DAIR-V2X-C,DATA + Ours,2,5,37.7194,18.8071,8.2927,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp2_comm5_ours_comm5_comp2_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp2_comm5.log
DAIR-V2X-C,DATA + Ours,4,0,23.4129,13.7098,6.6191,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm0_ours_comm0_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp4_comm0.log
DAIR-V2X-C,DATA + Ours,4,1,23.0765,13.7754,6.6797,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm1_ours_comm1_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp4_comm1.log
DAIR-V2X-C,DATA + Ours,4,2,23.0285,13.8987,6.8509,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm2_ours_comm2_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp4_comm2.log
DAIR-V2X-C,DATA + Ours,4,3,22.9725,13.8611,6.7901,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm3_ours_comm3_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp4_comm3.log
DAIR-V2X-C,DATA + Ours,4,4,22.6971,13.6151,6.7719,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm4_ours_comm4_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp4_comm4.log
DAIR-V2X-C,DATA + Ours,4,5,22.5467,13.5044,6.7451,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp4_comm5_ours_comm5_comp4_102.4_51.2_epoch21.yaml,/raid/xuyifan/v2x_code_ckpt/results/260615_fill/logs/data_dair_strict/data_ours_comp4_comm5.log
