dataset,method,comp_delay,comm_delay,ap30,ap50,ap70,eval_yaml,log
DAIR-V2X-C,DATA w/o compensation,1,0,61.8095,40.2389,13.2046,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm0_comm0_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp1_comm0.log
DAIR-V2X-C,DATA w/o compensation,1,1,59.1573,37.4719,12.6468,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm1_comm1_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp1_comm1.log
DAIR-V2X-C,DATA w/o compensation,1,2,56.9190,36.0457,12.6630,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm2_comm2_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp1_comm2.log
DAIR-V2X-C,DATA w/o compensation,1,3,55.2282,35.2219,12.7324,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm3_comm3_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp1_comm3.log
DAIR-V2X-C,DATA w/o compensation,1,4,54.3300,34.8075,12.7329,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm4_comm4_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp1_comm4.log
DAIR-V2X-C,DATA w/o compensation,1,5,53.5931,34.5794,12.5750,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp1_comm5_comm5_comp1_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp1_comm5.log
DAIR-V2X-C,DATA w/o compensation,3,0,30.4805,16.3920,7.9123,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm0_comm0_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp3_comm0.log
DAIR-V2X-C,DATA w/o compensation,3,1,30.0505,16.4273,8.1737,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm1_comm1_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp3_comm1.log
DAIR-V2X-C,DATA w/o compensation,3,2,29.7493,16.6045,8.3550,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm2_comm2_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp3_comm2.log
DAIR-V2X-C,DATA w/o compensation,3,3,29.3247,16.6370,8.3831,/raid/xuyifan/v2x_code_ckpt/runs/data_dair_official_eval/eval_intermediate_data_strict_comp3_comm3_comm3_comp3_102.4_51.2_epoch21.yaml,results/260615_fill/logs/data_dair_strict_comp135_20260716/data_none_comp3_comm3.log
