dataset,method,comp_delay,comm_delay,ap30,ap50,ap70,skipped,total,rf_model
DAIR-V2X-C,DATA + Ours RF 2f,0,0,57.8047,49.4230,37.4106,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,0,1,56.5442,45.4804,30.0156,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,0,2,55.8303,44.2006,29.2579,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,0,3,55.1366,43.0240,28.7410,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,0,4,54.2733,42.3780,28.3805,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,0,5,53.6322,41.8569,28.0834,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,2,0,49.3946,31.2685,10.5685,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,2,1,48.5722,30.0242,10.1865,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,2,2,47.6279,29.4094,9.8838,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,2,3,46.9224,28.8385,9.6392,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,2,4,46.4599,28.4444,9.5008,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,2,5,46.0156,28.0420,9.3436,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,4,0,38.6928,22.6263,7.2329,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,4,1,37.8116,22.0087,6.9947,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,4,2,37.2401,21.6476,6.8669,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,4,3,36.7771,21.3158,6.7397,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,4,4,36.5377,21.0932,6.6896,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
DAIR-V2X-C,DATA + Ours RF 2f,4,5,36.2417,20.8522,6.5935,0,1783,/raid/xuyifan/v2x_code_ckpt/checkpoints/curated/ours_models/dair_v2x_late_fusion_rf2_ours.pkl
