method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Detector w/o compensation,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm0_comp0.log"
Detector w/o compensation,1,0,,,59.90,50.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm1_comp0.log"
Detector w/o compensation,2,0,,,58.07,49.26,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm2_comp0.log"
Detector w/o compensation,3,0,,,56.90,48.80,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm3_comp0.log"
Detector w/o compensation,4,0,,,56.47,48.63,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm4_comp0.log"
Detector w/o compensation,5,0,,,56.18,48.36,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm5_comp0.log"
Detector w/o compensation,0,2,,,21.92,10.55,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm0_comp2.log"
Detector w/o compensation,1,2,,,21.16,10.36,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm1_comp2.log"
Detector w/o compensation,2,2,,,20.85,10.23,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm2_comp2.log"
Detector w/o compensation,3,2,,,20.60,10.08,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm3_comp2.log"
Detector w/o compensation,4,2,,,20.44,10.13,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm4_comp2.log"
Detector w/o compensation,5,2,,,20.30,10.00,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm5_comp2.log"
Detector w/o compensation,0,4,,,12.96,8.20,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm0_comp4.log"
Detector w/o compensation,1,4,,,12.80,8.07,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm1_comp4.log"
Detector w/o compensation,2,4,,,12.66,8.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm2_comp4.log"
Detector w/o compensation,3,4,,,12.53,8.01,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm3_comp4.log"
Detector w/o compensation,4,4,,,12.39,7.93,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm4_comp4.log"
Detector w/o compensation,5,4,,,12.26,7.87,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_20260703/late_fusion_no_comp_comm5_comp4.log"
