method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Detector + Ours,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm0_comp0.log"
Ours detector AP,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm0_comp0.log"
Detector + Ours,1,0,,,59.63,50.41,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm1_comp0.log"
Detector + Ours,2,0,,,59.20,50.00,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm2_comp0.log"
Detector + Ours,3,0,,,58.58,49.35,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm3_comp0.log"
Detector + Ours,4,0,,,57.94,48.85,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm4_comp0.log"
Detector + Ours,5,0,,,57.29,48.54,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm5_comp0.log"
Detector + Ours,0,2,,,48.06,26.02,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm0_comp2.log"
Detector + Ours,1,2,,,47.50,25.59,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm1_comp2.log"
Detector + Ours,2,2,,,46.91,25.24,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm2_comp2.log"
Detector + Ours,3,2,,,46.26,24.98,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm3_comp2.log"
Detector + Ours,4,2,,,45.90,24.87,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm4_comp2.log"
Detector + Ours,5,2,,,45.52,24.73,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm5_comp2.log"
Detector + Ours,0,4,,,33.63,14.70,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm0_comp4.log"
Detector + Ours,1,4,,,33.13,14.51,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm1_comp4.log"
Detector + Ours,2,4,,,32.74,14.44,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm2_comp4.log"
Detector + Ours,3,4,,,32.48,14.34,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm3_comp4.log"
Detector + Ours,4,4,,,32.26,14.28,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm4_comp4.log"
Detector + Ours,5,4,,,32.00,14.21,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_20260714/late_fusion_ours_comm5_comp4.log"
