method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Detector + Ours,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm0_comp0.log"
Ours detector AP,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm0_comp0.log"
Detector + Ours,1,0,,,60.48,51.12,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm1_comp0.log"
Detector + Ours,2,0,,,60.14,50.86,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm2_comp0.log"
Detector + Ours,3,0,,,59.67,50.32,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm3_comp0.log"
Detector + Ours,4,0,,,59.19,49.81,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm4_comp0.log"
Detector + Ours,5,0,,,58.49,49.16,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm5_comp0.log"
Detector + Ours,0,2,,,53.43,36.25,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm0_comp2.log"
Detector + Ours,1,2,,,53.03,35.80,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm1_comp2.log"
Detector + Ours,2,2,,,52.50,35.36,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm2_comp2.log"
Detector + Ours,3,2,,,51.84,34.95,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm3_comp2.log"
Detector + Ours,4,2,,,51.37,34.89,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm4_comp2.log"
Detector + Ours,5,2,,,51.17,34.62,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm5_comp2.log"
Detector + Ours,0,4,,,43.01,24.30,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm0_comp4.log"
Detector + Ours,1,4,,,42.39,23.89,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm1_comp4.log"
Detector + Ours,2,4,,,41.93,23.82,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm2_comp4.log"
Detector + Ours,3,4,,,41.76,23.54,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm3_comp4.log"
Detector + Ours,4,4,,,41.57,23.65,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm4_comp4.log"
Detector + Ours,5,4,,,41.10,23.53,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_valcache_20260705/late_fusion_ours_comm5_comp4.log"
