method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Detector + TCLF,0,1,,,47.53,17.40,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm0_comp1.log"
Detector + TCLF,1,1,,,46.78,17.21,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm1_comp1.log"
Detector + TCLF,2,1,,,45.52,16.83,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm2_comp1.log"
Detector + TCLF,3,1,,,45.05,16.60,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm3_comp1.log"
Detector + TCLF,4,1,,,44.63,16.36,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm4_comp1.log"
Detector + TCLF,5,1,,,44.30,16.34,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm5_comp1.log"
Detector + TCLF,0,3,,,14.86,9.05,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm0_comp3.log"
Detector + TCLF,1,3,,,14.71,9.00,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm1_comp3.log"
Detector + TCLF,2,3,,,14.53,8.87,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm2_comp3.log"
Detector + TCLF,3,3,,,14.41,8.90,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm3_comp3.log"
Detector + TCLF,4,3,,,14.24,8.77,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm4_comp3.log"
Detector + TCLF,5,3,,,14.16,8.70,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm5_comp3.log"
Detector + TCLF,0,5,,,12.00,7.38,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm0_comp5.log"
Detector + TCLF,1,5,,,11.95,7.45,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm1_comp5.log"
Detector + TCLF,2,5,,,11.82,7.31,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm2_comp5.log"
Detector + TCLF,3,5,,,11.73,7.27,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm3_comp5.log"
Detector + TCLF,4,5,,,11.60,7.20,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm4_comp5.log"
Detector + TCLF,5,5,,,11.43,7.09,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_comp135_20260716/late_fusion_tclf_comm5_comp5.log"
