method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Late fusion w/o comp.,0,1,,,47.52,17.38,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm0_comp1.log"
Late fusion w/o comp.,1,1,,,45.92,16.90,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm1_comp1.log"
Late fusion w/o comp.,2,1,,,44.80,16.57,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm2_comp1.log"
Late fusion w/o comp.,3,1,,,44.43,16.45,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm3_comp1.log"
Late fusion w/o comp.,4,1,,,44.17,16.24,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm4_comp1.log"
Late fusion w/o comp.,5,1,,,43.99,16.30,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm5_comp1.log"
Late fusion w/o comp.,0,3,,,14.86,9.05,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm0_comp3.log"
Late fusion w/o comp.,1,3,,,14.63,8.98,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm1_comp3.log"
Late fusion w/o comp.,2,3,,,14.43,8.83,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm2_comp3.log"
Late fusion w/o comp.,3,3,,,14.31,8.87,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm3_comp3.log"
Late fusion w/o comp.,4,3,,,14.16,8.75,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm4_comp3.log"
Late fusion w/o comp.,5,3,,,14.04,8.69,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm5_comp3.log"
Late fusion w/o comp.,0,5,,,12.00,7.38,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm0_comp5.log"
Late fusion w/o comp.,1,5,,,11.93,7.45,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm1_comp5.log"
Late fusion w/o comp.,2,5,,,11.80,7.32,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm2_comp5.log"
Late fusion w/o comp.,3,5,,,11.65,7.26,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm3_comp5.log"
Late fusion w/o comp.,4,5,,,11.53,7.20,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm4_comp5.log"
Late fusion w/o comp.,5,5,,,11.37,7.10,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_comp135_20260716/late_fusion_no_comp_comm5_comp5.log"
