method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Late fusion + Ours,0,1,,,54.90,34.53,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm0_comp1.log"
Late fusion + Ours,1,1,,,54.48,34.21,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm1_comp1.log"
Late fusion + Ours,2,1,,,53.85,33.64,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm2_comp1.log"
Late fusion + Ours,3,1,,,53.26,33.26,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm3_comp1.log"
Late fusion + Ours,4,1,,,52.58,32.92,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm4_comp1.log"
Late fusion + Ours,5,1,,,52.14,32.83,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm5_comp1.log"
Late fusion + Ours,0,3,,,40.23,18.92,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm0_comp3.log"
Late fusion + Ours,1,3,,,39.69,18.65,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm1_comp3.log"
Late fusion + Ours,2,3,,,39.13,18.41,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm2_comp3.log"
Late fusion + Ours,3,3,,,38.74,18.36,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm3_comp3.log"
Late fusion + Ours,4,3,,,38.44,18.21,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm4_comp3.log"
Late fusion + Ours,5,3,,,37.88,18.24,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm5_comp3.log"
Late fusion + Ours,0,5,,,26.25,10.54,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm0_comp5.log"
Late fusion + Ours,1,5,,,25.94,10.48,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm1_comp5.log"
Late fusion + Ours,2,5,,,25.64,10.37,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm2_comp5.log"
Late fusion + Ours,3,5,,,25.14,10.35,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm3_comp5.log"
Late fusion + Ours,4,5,,,25.06,10.33,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm4_comp5.log"
Late fusion + Ours,5,5,,,24.90,10.25,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainonly_comp135_20260716/late_fusion_ours_comm5_comp5.log"
