method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Late fusion + Ours,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm0_comp0.log"
Late fusion + Ours,1,0,,,60.30,50.85,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm1_comp0.log"
Late fusion + Ours,2,0,,,59.93,50.52,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm2_comp0.log"
Late fusion + Ours,3,0,,,59.51,49.86,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm3_comp0.log"
Late fusion + Ours,4,0,,,58.94,49.40,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm4_comp0.log"
Late fusion + Ours,5,0,,,58.11,49.05,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm5_comp0.log"
Late fusion + Ours,0,2,,,52.96,34.82,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm0_comp2.log"
Late fusion + Ours,1,2,,,52.49,34.27,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm1_comp2.log"
Late fusion + Ours,2,2,,,52.02,33.94,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm2_comp2.log"
Late fusion + Ours,3,2,,,51.22,33.69,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm3_comp2.log"
Late fusion + Ours,4,2,,,50.91,33.61,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm4_comp2.log"
Late fusion + Ours,5,2,,,50.63,33.42,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm5_comp2.log"
Late fusion + Ours,0,4,,,41.75,21.22,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm0_comp4.log"
Late fusion + Ours,1,4,,,41.07,20.99,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm1_comp4.log"
Late fusion + Ours,2,4,,,40.71,20.87,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm2_comp4.log"
Late fusion + Ours,3,4,,,40.42,20.70,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm3_comp4.log"
Late fusion + Ours,4,4,,,40.25,20.73,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm4_comp4.log"
Late fusion + Ours,5,4,,,39.91,20.59,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_ours_history2_rf_trainval_diag_20260714/late_fusion_ours_comm5_comp4.log"
