method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Late fusion + TCLF,0,0,,,62.00,54.11,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm0_comp0.log"
Late fusion + TCLF,1,0,,,60.18,51.13,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm1_comp0.log"
Late fusion + TCLF,2,0,,,59.25,50.48,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm2_comp0.log"
Late fusion + TCLF,3,0,,,57.83,49.46,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm3_comp0.log"
Late fusion + TCLF,4,0,,,57.31,49.12,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm4_comp0.log"
Late fusion + TCLF,5,0,,,56.78,48.70,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm5_comp0.log"
Late fusion + TCLF,0,2,,,21.93,10.55,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm0_comp2.log"
Late fusion + TCLF,1,2,,,21.36,10.41,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm1_comp2.log"
Late fusion + TCLF,2,2,,,21.07,10.31,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm2_comp2.log"
Late fusion + TCLF,3,2,,,20.79,10.17,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm3_comp2.log"
Late fusion + TCLF,4,2,,,20.58,10.17,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm4_comp2.log"
Late fusion + TCLF,5,2,,,20.38,10.01,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm5_comp2.log"
Late fusion + TCLF,0,4,,,12.96,8.20,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm0_comp4.log"
Late fusion + TCLF,1,4,,,12.83,8.08,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm1_comp4.log"
Late fusion + TCLF,2,4,,,12.72,8.13,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm2_comp4.log"
Late fusion + TCLF,3,4,,,12.58,8.00,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm3_comp4.log"
Late fusion + TCLF,4,4,,,12.49,7.94,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm4_comp4.log"
Late fusion + TCLF,5,4,,,12.34,7.87,dair_strict_dual_delay_detector,"strict sender=T-(comm+comp), receiver=T-comp; log=results/dair_v2x/official_baselines/logs_strict_dual_delay_tclf_receiver_20260704/late_fusion_tclf_comm5_comp4.log"
