step,epoch,loss,cls_loss,loc_loss,positives,gate
1,0,0.777656,0.369132,0.204262,47,0.00359726
20,0,0.697635,0.195745,0.250945,26,0.00360006
40,0,0.343199,0.112232,0.115484,24,0.00360475
60,0,0.759500,0.268556,0.245472,46,0.00360842
80,0,0.518958,0.216009,0.151474,17,0.00361138
100,0,0.536364,0.169926,0.183219,15,0.00361439
120,0,0.544440,0.261813,0.141313,22,0.00361841
140,0,0.329673,0.122676,0.103499,15,0.00362031
160,0,0.735921,0.161839,0.287041,36,0.00361950
180,0,0.520148,0.123660,0.198244,24,0.00362006
200,0,0.507045,0.196544,0.155250,52,0.00362386
220,0,0.351598,0.136067,0.107765,26,0.00362405
240,0,0.531325,0.143735,0.193795,25,0.00362611
260,0,0.300099,0.115912,0.092094,23,0.00362970
280,0,0.690171,0.274945,0.207613,44,0.00363200
300,0,0.509917,0.156702,0.176608,47,0.00363196
320,0,0.533240,0.222521,0.155359,51,0.00363482
340,0,0.622474,0.193515,0.214480,18,0.00363507
360,0,0.500090,0.139746,0.180172,33,0.00363375
380,0,0.547427,0.168444,0.189492,47,0.00363456
400,0,0.339118,0.108949,0.115085,24,0.00363647
420,0,0.523003,0.212693,0.155155,23,0.00363626
440,0,0.672906,0.294515,0.189196,33,0.00363732
460,0,0.764440,0.234736,0.264852,27,0.00364072
480,0,0.570373,0.201076,0.184649,21,0.00364086
500,0,0.631811,0.193899,0.218956,24,0.00364135
520,0,0.496123,0.133539,0.181292,64,0.00364362
540,0,0.629420,0.222221,0.203599,15,0.00364519
560,0,0.249814,0.084254,0.082780,18,0.00364254
580,0,0.341967,0.105254,0.118356,45,0.00364447
600,0,0.454274,0.227334,0.113470,21,0.00364729
620,0,0.784002,0.227763,0.278120,32,0.00364685
640,0,0.874013,0.382931,0.245541,27,0.00364571
660,0,0.632310,0.238629,0.196840,26,0.00364630
680,0,0.669918,0.164998,0.252460,27,0.00364659
700,0,0.487914,0.166187,0.160863,67,0.00364684
720,0,0.574406,0.185640,0.194383,21,0.00364755
740,0,0.469060,0.165618,0.151721,41,0.00364836
760,0,0.473134,0.123313,0.174911,25,0.00364917
780,0,0.656394,0.193199,0.231597,37,0.00364832
800,0,0.341016,0.145146,0.097935,53,0.00364729
820,0,0.536536,0.196382,0.170077,47,0.00364749
840,0,0.508565,0.159719,0.174423,52,0.00364851
860,0,0.633861,0.176227,0.228817,50,0.00365064
880,0,0.908347,0.284269,0.312039,13,0.00365195
900,0,0.603228,0.285148,0.159040,11,0.00365388
920,0,0.638791,0.245229,0.196781,28,0.00365488
940,0,0.500238,0.106151,0.197044,32,0.00365396
960,0,0.745386,0.258000,0.243693,53,0.00365289
980,0,0.666252,0.229193,0.218529,50,0.00365437
1000,0,0.442446,0.156313,0.143067,19,0.00365595
