step,epoch,loss,cls_loss,loc_loss,positives,gate
1,0,0.556687,0.222093,0.167297,46,0.00359725
100,0,0.649316,0.239586,0.204865,17,0.00361015
200,0,0.406455,0.176570,0.114942,44,0.00362403
300,0,0.824433,0.263759,0.280337,81,0.00362922
400,0,0.548865,0.227027,0.160919,33,0.00363036
500,0,1.600512,0.458583,0.570964,26,0.00363300
600,0,0.403170,0.121545,0.140813,39,0.00363572
700,0,0.940778,0.373306,0.283736,14,0.00363715
800,0,0.446569,0.148860,0.148854,34,0.00363829
900,0,0.903836,0.302691,0.300573,27,0.00364019
1000,0,0.869204,0.355797,0.256704,39,0.00364043
