step,epoch,loss,cls_loss,loc_loss,positives,gate
1,0,0.814485,0.282988,0.265748,31,0.05988660
100,0,0.562529,0.204808,0.178860,53,0.06001357
200,0,0.537787,0.134076,0.201856,51,0.06005926
300,0,0.624226,0.239796,0.192215,23,0.06009288
400,0,0.465527,0.175969,0.144779,69,0.06013073
500,0,0.354622,0.184219,0.085202,27,0.06015824
600,0,0.554898,0.275431,0.139733,51,0.06019886
700,0,0.593196,0.217917,0.187640,23,0.06026129
800,0,0.721701,0.217848,0.251926,20,0.06030496
900,0,0.451186,0.146840,0.152173,20,0.06034197
1000,0,0.477487,0.165773,0.155857,60,0.06038437
1100,0,0.581277,0.242319,0.169479,42,0.06040690
1200,0,0.695251,0.295023,0.200114,54,0.06044159
1300,0,0.521299,0.174336,0.173481,30,0.06049166
1400,0,0.714945,0.202419,0.256263,48,0.06052129
1500,0,0.798398,0.280128,0.259135,53,0.06057215
