step,epoch,loss,cls_loss,loc_loss,positives,gate
1,0,0.926004,0.281967,0.322018,45,0.00359725
100,0,0.523626,0.139932,0.191847,41,0.00361701
200,0,0.692341,0.218757,0.236792,67,0.00362776
300,0,0.545036,0.168889,0.188074,44,0.00363153
400,0,0.591399,0.250600,0.170400,23,0.00363442
500,0,0.845645,0.324449,0.260598,26,0.00363757
600,0,0.622654,0.207515,0.207569,38,0.00363974
700,0,0.414976,0.191034,0.111971,39,0.00364092
800,0,0.946579,0.418113,0.264233,34,0.00364351
900,0,0.765966,0.307238,0.229364,11,0.00364392
1000,0,0.551836,0.196166,0.177835,69,0.00364621
