step,epoch,loss,cls_loss,loc_loss,positives,gate
1,0,0.695211,0.267964,0.213623,16,0.05988660
100,0,0.613297,0.220392,0.196452,9,0.06001638
200,0,1.510592,0.516781,0.496906,13,0.06001506
300,0,0.761533,0.222928,0.269303,28,0.06006600
400,0,0.482143,0.230565,0.125789,27,0.06009329
500,0,0.869958,0.330848,0.269555,24,0.06015237
600,0,0.707079,0.374375,0.166352,41,0.06017734
700,0,0.757253,0.388028,0.184612,19,0.06023093
800,0,0.461412,0.156830,0.152291,50,0.06031425
900,0,0.467727,0.167022,0.150352,54,0.06036736
1000,0,0.450836,0.175855,0.137491,32,0.06038064
1100,0,0.320104,0.085005,0.117550,46,0.06041258
1200,0,0.487727,0.152586,0.167570,47,0.06044257
1300,0,0.616880,0.244683,0.186098,36,0.06048539
1400,0,0.425469,0.164205,0.130632,59,0.06052131
1500,0,0.258532,0.107837,0.075348,39,0.06049788
