step,epoch,loss,cls_loss,loc_loss,positives,gate
1,0,0.652720,0.312184,0.170268,37,0.05960198
50,0,0.662428,0.267530,0.197449,31,0.05967900
100,0,0.622949,0.213695,0.204627,36,0.05972226
150,0,0.615314,0.158642,0.228336,50,0.05972245
200,0,0.520563,0.197685,0.161439,50,0.05979752
250,0,0.659089,0.195111,0.231989,29,0.05989824
300,0,0.668926,0.253423,0.207752,44,0.05994741
350,0,0.604069,0.199418,0.202325,33,0.06000594
400,0,0.567466,0.224844,0.171311,31,0.05998955
450,0,0.821945,0.279291,0.271327,33,0.06006354
500,0,0.725235,0.297936,0.213649,39,0.06008139
550,0,0.502589,0.184492,0.159049,35,0.06008143
600,0,0.603582,0.226646,0.188468,41,0.06007071
650,0,0.426318,0.165126,0.130596,18,0.06014098
700,0,0.582953,0.192106,0.195424,46,0.06020399
750,0,0.930940,0.266397,0.332271,22,0.06030510
800,0,0.585402,0.176358,0.204522,47,0.06036375
850,0,0.477640,0.180249,0.148696,45,0.06039957
900,0,0.498715,0.239129,0.129793,41,0.06040534
950,0,0.301805,0.083201,0.109302,11,0.06045599
1000,0,0.522512,0.210491,0.156010,43,0.06054534
1050,0,0.553772,0.205263,0.174254,32,0.06063037
1100,0,0.571670,0.252614,0.159528,36,0.06061878
1150,0,0.388641,0.115110,0.136766,29,0.06060376
1200,0,0.408211,0.134362,0.136925,41,0.06070647
1250,0,0.610585,0.150359,0.230113,29,0.06080968
1300,0,0.554647,0.190899,0.181874,39,0.06077065
1350,0,0.476473,0.160727,0.157873,39,0.06087236
1400,0,0.689251,0.291411,0.198920,57,0.06092627
1450,0,0.542929,0.180495,0.181217,38,0.06107157
1500,0,0.601071,0.250920,0.175076,26,0.06122490
