dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,0,0,3316,77.02,59.04,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,100,0,3316,74.03,54.82,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,200,0,3316,73.02,53.97,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,300,0,3316,72.25,53.17,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,400,0,3316,71.32,53.08,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,500,0,3316,70.57,52.54,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,100,100,3316,62.65,26.06,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,200,100,3316,61.51,25.55,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,300,100,3316,60.96,25.00,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,400,100,3316,60.30,24.43,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,500,100,3316,58.86,23.63,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,600,100,3316,57.57,23.07,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,200,200,3316,48.62,16.38,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,300,200,3316,47.47,15.63,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,400,200,3316,46.30,15.01,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,500,200,3316,45.19,14.37,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,600,200,3316,43.81,13.90,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,700,200,3316,43.09,13.52,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,300,300,3316,27.74,12.70,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,400,300,3316,26.96,12.42,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,500,300,3316,26.17,12.05,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,600,300,3316,25.35,11.67,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,700,300,3316,24.55,11.31,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,800,300,3316,23.94,10.96,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,400,400,3316,25.61,11.72,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,500,400,3316,24.86,11.36,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,600,400,3316,24.15,11.04,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,700,400,3316,23.33,10.59,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,800,400,3316,22.74,10.24,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,900,400,3316,22.50,9.95,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,500,500,3316,23.92,10.62,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,600,500,3316,23.18,10.25,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,700,500,3316,22.31,9.80,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,800,500,3316,21.65,9.39,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,900,500,3316,21.39,9.31,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
DAIR-V2X-Seq/SPD,TraF-Align + Ours adaptive scale + Comp0/3/4/5 bypass,test,1000,500,3316,21.13,8.98,"delay-aware AP70-safe policy: bypass residual for Comp=0/3/4/5, use adaptive residual for Comp=1/2"
