dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,200,200,3316,48.62,16.38,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,300,200,3316,47.47,15.63,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,400,200,3316,46.3,15.01,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,500,200,3316,45.19,14.37,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,600,200,3316,43.81,13.9,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,700,200,3316,43.09,13.52,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}"
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,400,400,3316,25.61,11.72,Comp4 bypass uses original TraF-Align baseline; source=trafalign_baseline_comp4_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,500,400,3316,24.86,11.36,Comp4 bypass uses original TraF-Align baseline; source=trafalign_baseline_comp4_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,600,400,3316,24.15,11.04,Comp4 bypass uses original TraF-Align baseline; source=trafalign_baseline_comp4_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,700,400,3316,23.33,10.59,Comp4 bypass uses original TraF-Align baseline; source=trafalign_baseline_comp4_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,800,400,3316,22.74,10.24,Comp4 bypass uses original TraF-Align baseline; source=trafalign_baseline_comp4_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours Comp2 adaptive / Comp4 bypass,test,900,400,3316,22.5,9.95,Comp4 bypass uses original TraF-Align baseline; source=trafalign_baseline_comp4_spconv2121.csv
