dataset,method,split,delay_ms,delay_ego_ms,samples,AP@0.5,AP@0.7,notes
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,0,0,3316,77.02,59.04,Comp0 bypass uses original TraF-Align path; source=results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,100,0,3316,74.03,54.82,Comp0 bypass uses original TraF-Align path; source=results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,200,0,3316,73.02,53.97,Comp0 bypass uses original TraF-Align path; source=results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,300,0,3316,72.25,53.17,Comp0 bypass uses original TraF-Align path; source=results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,400,0,3316,71.32,53.08,Comp0 bypass uses original TraF-Align path; source=results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,500,0,3316,70.57,52.54,Comp0 bypass uses original TraF-Align path; source=results/dair_v2x_seq/trafalign_baseline_comp0_spconv2121.csv
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,200,200,3316,48.62,16.38,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; Comp0 bypass enabled but inactive because delay_ego_ms>0"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,300,200,3316,47.47,15.63,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; Comp0 bypass enabled but inactive because delay_ego_ms>0"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,400,200,3316,46.30,15.01,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; Comp0 bypass enabled but inactive because delay_ego_ms>0"
DAIR-V2X-Seq/SPD,TraF-Align + Ours joint delay-comp adaptive scale + Comp0 bypass,test,500,200,3316,45.19,14.37,"checkpoint=checkpoints/curated/ours_models/trafalign_joint_delay_comp_only_adaptive2to4_spconv2121; epoch=1; load_info={'transformed': 0, 'missing': 0, 'unexpected': 0}; Comp0 bypass enabled but inactive because delay_ego_ms>0"
