method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Ours detector AP,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Ours detector AP,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,1,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,2,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,3,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,4,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,5,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,0,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,1,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,2,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,3,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,4,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,5,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,0,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,1,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,2,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,3,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,4,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,5,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,1,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,2,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,3,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,4,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,5,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,0,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,1,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,2,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,3,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,4,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,5,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,0,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,1,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,2,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,3,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,4,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector w/o compensation,5,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
