method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
LRCP,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,1,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,2,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,3,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,4,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,5,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,0,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,1,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,2,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,3,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,4,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,5,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,0,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,1,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,2,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,3,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,4,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,5,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,1,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,2,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,3,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,4,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,5,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,0,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,1,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,2,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,3,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,4,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,5,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,0,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,1,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,2,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,3,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,4,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP w/o compensation,5,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,1,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,2,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,3,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,4,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,5,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,0,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,1,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,2,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,3,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,4,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,5,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,0,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,1,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,2,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,3,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,4,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,5,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,1,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,2,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,3,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,4,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,5,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,0,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,1,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,2,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,3,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,4,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,5,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,0,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,1,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,2,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,3,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,4,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + Ours,5,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,1,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,2,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,3,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,4,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,5,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,0,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,1,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,2,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,3,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,4,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,5,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,0,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,1,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,2,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,3,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,4,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,5,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,0,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,1,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,2,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,3,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,4,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,5,0,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,0,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,1,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,2,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,3,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,4,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,5,2,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,0,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,1,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,2,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,3,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,4,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
LRCP + SyncNet,5,4,,,,,dair_lrcp_latency,fill metric columns after experiment completes
