method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Late fusion w/o comp.,0,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,1,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,2,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,3,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,4,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,5,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,0,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,1,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,2,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,3,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,4,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,5,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,0,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,1,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,2,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,3,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,4,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,5,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,0,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,1,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,2,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,3,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,4,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,5,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,0,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,1,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,2,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,3,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,4,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,5,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,0,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,1,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,2,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,3,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,4,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion w/o comp.,5,4,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,0,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,1,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,2,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,3,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,4,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,5,0,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,0,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
Late fusion + TCLF,1,2,,,,,dair_tclf_comp_latency,fill metric columns after experiment completes
