method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
DATA + Ours,0,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,1,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,2,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,3,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,4,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,5,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,0,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,1,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,2,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,3,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,4,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,5,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,0,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,1,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,2,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,3,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,4,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,5,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,0,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,1,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,2,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,3,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,4,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,5,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,0,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,1,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,2,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,3,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,4,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,5,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,0,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,1,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,2,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,3,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,4,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + Ours,5,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,0,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,1,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,2,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,3,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,4,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,5,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,0,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,1,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,2,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,3,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,4,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,5,2,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,0,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,1,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,2,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,3,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,4,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,5,4,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,0,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,1,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,2,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
DATA + SyncNet,3,0,,,,,v2xsim_data_compensation,fill metric columns after experiment completes
