method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
V2VNet + SyncNet,0,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,1,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,2,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,3,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,4,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,5,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,0,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,1,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,2,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,3,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,4,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,5,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,0,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,1,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,2,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,3,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,4,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,5,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,0,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,1,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,2,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,3,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,4,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,5,0,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,0,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,1,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,2,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,3,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,4,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,5,2,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,0,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,1,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,2,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,3,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,4,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
V2VNet + SyncNet,5,4,,,,,v2xsim_v2vnet_syncnet,fill metric columns after experiment completes
