comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,comp_only,0,0,5690,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,comp_only,0,1,5690,0.46726510948527683,0.46726510948527683,0.0,0.020738137082601055
2,0,0.4,0.0,2,0,comp_only,0,2,5690,0.27795401656039664,0.27795401656039664,0.0,0.01898066783831283
3,0,0.6000000000000001,0.0,3,0,comp_only,0,3,5690,0.19376827692492582,0.19376827692492582,0.0,0.017750439367311074
4,0,0.8,0.0,4,0,comp_only,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
0,1,0.0,0.2,1,1,comp_only,1,1,5690,0.6467442759597243,0.46726510948527683,0.17947916647444756,0.3949499047655318
1,1,0.2,0.2,2,1,comp_only,1,2,5690,0.4005214819615156,0.27795401656039664,0.12256746540111899,0.1967022012205777
2,1,0.4,0.2,3,1,comp_only,1,3,5690,0.2506742333125742,0.19376827692492582,0.05690595638764844,0.10647253529899234
3,1,0.6000000000000001,0.2,4,1,comp_only,1,4,5690,0.18163202791835834,0.14848517137145897,0.03314685654689935,0.07085614839952606
0,2,0.0,0.4,2,2,comp_only,2,2,5690,0.5347079884706374,0.27795401656039664,0.25675397191024074,0.45550324109402685
1,2,0.2,0.4,3,2,comp_only,2,3,5690,0.35475212153844365,0.19376827692492582,0.1609838446135179,0.2727286652802223
2,2,0.4,0.4,4,2,comp_only,2,4,5690,0.23566219753274706,0.14848517137145897,0.08717702616128806,0.16629837488528948
0,3,0.0,0.6000000000000001,3,3,comp_only,3,3,5690,0.44876301751456726,0.19376827692492582,0.2549947405896415,0.43124947789756085
1,3,0.2,0.6000000000000001,4,3,comp_only,3,4,5690,0.3123307016704411,0.14848517137145897,0.16384553029898208,0.2873315360015373
0,4,0.0,0.8,4,4,comp_only,4,4,5690,0.38492311474756596,0.14848517137145897,0.236437943376107,0.3976018629300319
