comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,dual,0,0,5690,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,dual,1,1,5690,0.6467442759597243,0.46726510948527683,0.17947916647444756,0.3949499047655318
2,0,0.4,0.0,2,0,dual,2,2,5690,0.5347079884706374,0.27795401656039664,0.25675397191024074,0.45550324109402685
3,0,0.6000000000000001,0.0,3,0,dual,3,3,5690,0.44876301751456726,0.19376827692492582,0.2549947405896415,0.43124947789756085
4,0,0.8,0.0,4,0,dual,4,4,5690,0.38492311474756596,0.14848517137145897,0.236437943376107,0.3976018629300319
0,1,0.0,0.2,1,1,dual,1,1,5690,0.6467442759597243,0.46726510948527683,0.17947916647444756,0.3949499047655318
1,1,0.2,0.2,2,1,dual,2,2,5690,0.5347079884706374,0.27795401656039664,0.25675397191024074,0.45550324109402685
2,1,0.4,0.2,3,1,dual,3,3,5690,0.44876301751456726,0.19376827692492582,0.2549947405896415,0.43124947789756085
3,1,0.6000000000000001,0.2,4,1,dual,4,4,5690,0.38492311474756596,0.14848517137145897,0.236437943376107,0.3976018629300319
0,2,0.0,0.4,2,2,dual,2,2,5690,0.5347079884706374,0.27795401656039664,0.25675397191024074,0.45550324109402685
1,2,0.2,0.4,3,2,dual,3,3,5690,0.44876301751456726,0.19376827692492582,0.2549947405896415,0.43124947789756085
2,2,0.4,0.4,4,2,dual,4,4,5690,0.38492311474756596,0.14848517137145897,0.236437943376107,0.3976018629300319
0,3,0.0,0.6000000000000001,3,3,dual,3,3,5690,0.44876301751456726,0.19376827692492582,0.2549947405896415,0.43124947789756085
1,3,0.2,0.6000000000000001,4,3,dual,4,4,5690,0.38492311474756596,0.14848517137145897,0.236437943376107,0.3976018629300319
0,4,0.0,0.8,4,4,dual,4,4,5690,0.38492311474756596,0.14848517137145897,0.236437943376107,0.3976018629300319
