comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,oracle,0,0,5690,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,oracle,1,1,5690,1.0,0.46726510948527683,0.5327348905147232,1.0
2,0,0.4,0.0,2,0,oracle,2,2,5690,1.0,0.27795401656039664,0.7220459834396034,1.0
3,0,0.6000000000000001,0.0,3,0,oracle,3,3,5690,1.0,0.19376827692492582,0.8062317230750742,1.0
4,0,0.8,0.0,4,0,oracle,4,4,5690,1.0,0.14848517137145897,0.8515148286285411,1.0
0,1,0.0,0.2,1,1,oracle,1,1,5690,1.0,0.46726510948527683,0.5327348905147232,1.0
1,1,0.2,0.2,2,1,oracle,2,2,5690,1.0,0.27795401656039664,0.7220459834396034,1.0
2,1,0.4,0.2,3,1,oracle,3,3,5690,1.0,0.19376827692492582,0.8062317230750742,1.0
3,1,0.6000000000000001,0.2,4,1,oracle,4,4,5690,1.0,0.14848517137145897,0.8515148286285411,1.0
0,2,0.0,0.4,2,2,oracle,2,2,5690,1.0,0.27795401656039664,0.7220459834396034,1.0
1,2,0.2,0.4,3,2,oracle,3,3,5690,1.0,0.19376827692492582,0.8062317230750742,1.0
2,2,0.4,0.4,4,2,oracle,4,4,5690,1.0,0.14848517137145897,0.8515148286285411,1.0
0,3,0.0,0.6000000000000001,3,3,oracle,3,3,5690,1.0,0.19376827692492582,0.8062317230750742,1.0
1,3,0.2,0.6000000000000001,4,3,oracle,4,4,5690,1.0,0.14848517137145897,0.8515148286285411,1.0
0,4,0.0,0.8,4,4,oracle,4,4,5690,1.0,0.14848517137145897,0.8515148286285411,1.0
