comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,dual,0,0,2,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,dual,1,1,2,0.7145679967534807,0.5085324559161768,0.20603554083730388,0.6366494082840237
2,0,0.4,0.0,2,0,dual,2,2,2,0.6950301452904162,0.2370360417287053,0.4579941035617108,0.8196753557744937
3,0,0.6000000000000001,0.0,3,0,dual,3,3,2,0.6758092073665232,0.11152486322859351,0.5642843441379296,0.8762175324675325
4,0,0.8,0.0,4,0,dual,4,4,2,0.6432444905965156,0.1073105673396371,0.5359339232568784,0.9081767355179375
0,1,0.0,0.2,1,1,dual,1,1,2,0.7145679967534807,0.5085324559161768,0.20603554083730388,0.6366494082840237
1,1,0.2,0.2,2,1,dual,2,2,2,0.6950301452904162,0.2370360417287053,0.4579941035617108,0.8196753557744937
2,1,0.4,0.2,3,1,dual,3,3,2,0.6758092073665232,0.11152486322859351,0.5642843441379296,0.8762175324675325
3,1,0.6000000000000001,0.2,4,1,dual,4,4,2,0.6432444905965156,0.1073105673396371,0.5359339232568784,0.9081767355179375
0,2,0.0,0.4,2,2,dual,2,2,2,0.6950301452904162,0.2370360417287053,0.4579941035617108,0.8196753557744937
1,2,0.2,0.4,3,2,dual,3,3,2,0.6758092073665232,0.11152486322859351,0.5642843441379296,0.8762175324675325
2,2,0.4,0.4,4,2,dual,4,4,2,0.6432444905965156,0.1073105673396371,0.5359339232568784,0.9081767355179375
0,3,0.0,0.6000000000000001,3,3,dual,3,3,2,0.6758092073665232,0.11152486322859351,0.5642843441379296,0.8762175324675325
1,3,0.2,0.6000000000000001,4,3,dual,4,4,2,0.6432444905965156,0.1073105673396371,0.5359339232568784,0.9081767355179375
0,4,0.0,0.8,4,4,dual,4,4,2,0.6432444905965156,0.1073105673396371,0.5359339232568784,0.9081767355179375
