comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,comm_only,0,0,5690,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,comm_only,1,1,5690,0.6525417324361242,0.46726510948527683,0.18527662295084746,0.409750062007866
2,0,0.4,0.0,2,0,comm_only,2,2,5690,0.546767742960957,0.27795401656039664,0.2688137264005604,0.48288007818070466
3,0,0.6000000000000001,0.0,3,0,comm_only,3,3,5690,0.4651254796431134,0.19376827692492582,0.27135720271818764,0.45926555649857137
4,0,0.8,0.0,4,0,comm_only,4,4,5690,0.40095702701929425,0.14848517137145897,0.25247185564783525,0.4279832398372838
0,1,0.0,0.2,1,1,comm_only,0,1,5690,0.46726510948527683,0.46726510948527683,0.0,0.020738137082601055
1,1,0.2,0.2,2,1,comm_only,1,2,5690,0.4062756283547166,0.27795401656039664,0.12832161179431995,0.20090185657916212
2,1,0.4,0.2,3,1,comm_only,2,3,5690,0.36771507741090487,0.19376827692492582,0.17394680048597905,0.28993606464530536
3,1,0.6000000000000001,0.2,4,1,comm_only,3,4,5690,0.32963070587679005,0.14848517137145897,0.1811455345053311,0.309593861555903
0,2,0.0,0.4,2,2,comm_only,0,2,5690,0.27795401656039664,0.27795401656039664,0.0,0.01898066783831283
1,2,0.2,0.4,3,2,comm_only,1,3,5690,0.2525372568345483,0.19376827692492582,0.05876897990962251,0.10708279597753417
2,2,0.4,0.4,4,2,comm_only,2,4,5690,0.24281612010967052,0.14848517137145897,0.09433094873821156,0.17547443584617484
0,3,0.0,0.6000000000000001,3,3,comm_only,0,3,5690,0.19376827692492582,0.19376827692492582,0.0,0.017750439367311074
1,3,0.2,0.6000000000000001,4,3,comm_only,1,4,5690,0.18246464117690184,0.14848517137145897,0.033979469805442884,0.07099414511282262
0,4,0.0,0.8,4,4,comm_only,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
