comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,dual,0,0,5690,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,dual,1,1,5690,0.6525417324361242,0.46726510948527683,0.18527662295084746,0.409750062007866
2,0,0.4,0.0,2,0,dual,2,2,5690,0.546767742960957,0.27795401656039664,0.2688137264005604,0.48288007818070466
3,0,0.6000000000000001,0.0,3,0,dual,3,3,5690,0.4651254796431134,0.19376827692492582,0.27135720271818764,0.45926555649857137
4,0,0.8,0.0,4,0,dual,4,4,5690,0.40095702701929425,0.14848517137145897,0.25247185564783525,0.4279832398372838
0,1,0.0,0.2,1,1,dual,1,1,5690,0.6525417324361242,0.46726510948527683,0.18527662295084746,0.409750062007866
1,1,0.2,0.2,2,1,dual,2,2,5690,0.546767742960957,0.27795401656039664,0.2688137264005604,0.48288007818070466
2,1,0.4,0.2,3,1,dual,3,3,5690,0.4651254796431134,0.19376827692492582,0.27135720271818764,0.45926555649857137
3,1,0.6000000000000001,0.2,4,1,dual,4,4,5690,0.40095702701929425,0.14848517137145897,0.25247185564783525,0.4279832398372838
0,2,0.0,0.4,2,2,dual,2,2,5690,0.546767742960957,0.27795401656039664,0.2688137264005604,0.48288007818070466
1,2,0.2,0.4,3,2,dual,3,3,5690,0.4651254796431134,0.19376827692492582,0.27135720271818764,0.45926555649857137
2,2,0.4,0.4,4,2,dual,4,4,5690,0.40095702701929425,0.14848517137145897,0.25247185564783525,0.4279832398372838
0,3,0.0,0.6000000000000001,3,3,dual,3,3,5690,0.4651254796431134,0.19376827692492582,0.27135720271818764,0.45926555649857137
1,3,0.2,0.6000000000000001,4,3,dual,4,4,5690,0.40095702701929425,0.14848517137145897,0.25247185564783525,0.4279832398372838
0,4,0.0,0.8,4,4,dual,4,4,5690,0.40095702701929425,0.14848517137145897,0.25247185564783525,0.4279832398372838
