comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,no_comp,0,0,5690,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,no_comp,0,1,5690,0.46726510948527683,0.46726510948527683,0.0,0.020738137082601055
2,0,0.4,0.0,2,0,no_comp,0,2,5690,0.27795401656039664,0.27795401656039664,0.0,0.01898066783831283
3,0,0.6000000000000001,0.0,3,0,no_comp,0,3,5690,0.19376827692492582,0.19376827692492582,0.0,0.017750439367311074
4,0,0.8,0.0,4,0,no_comp,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
0,1,0.0,0.2,1,1,no_comp,0,1,5690,0.46726510948527683,0.46726510948527683,0.0,0.020738137082601055
1,1,0.2,0.2,2,1,no_comp,0,2,5690,0.27795401656039664,0.27795401656039664,0.0,0.01898066783831283
2,1,0.4,0.2,3,1,no_comp,0,3,5690,0.19376827692492582,0.19376827692492582,0.0,0.017750439367311074
3,1,0.6000000000000001,0.2,4,1,no_comp,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
0,2,0.0,0.4,2,2,no_comp,0,2,5690,0.27795401656039664,0.27795401656039664,0.0,0.01898066783831283
1,2,0.2,0.4,3,2,no_comp,0,3,5690,0.19376827692492582,0.19376827692492582,0.0,0.017750439367311074
2,2,0.4,0.4,4,2,no_comp,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
0,3,0.0,0.6000000000000001,3,3,no_comp,0,3,5690,0.19376827692492582,0.19376827692492582,0.0,0.017750439367311074
1,3,0.2,0.6000000000000001,4,3,no_comp,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
0,4,0.0,0.8,4,4,no_comp,0,4,5690,0.14848517137145897,0.14848517137145897,0.0,0.017047451669595783
