comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,dual,0,0,5585,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,dual,1,1,5585,0.653858483968668,0.46673927255004266,0.18711921141862528,0.43666229488265906
2,0,0.4,0.0,2,0,dual,2,2,5585,0.5463141122164271,0.2773573426614537,0.26895676955497344,0.5115299564873035
3,0,0.6000000000000001,0.0,3,0,dual,3,3,5585,0.4632904609666941,0.19306594553861994,0.270224515428074,0.4870784954216346
4,0,0.8,0.0,4,0,dual,4,4,5585,0.399976894292529,0.14799095312329913,0.2519859411692298,0.45281562450985435
5,0,1.0,0.0,5,0,dual,5,5,5585,0.3486325381526059,0.11969975424527922,0.2289327839073267,0.42328871124678125
0,1,0.0,0.2,1,1,dual,1,1,5585,0.653858483968668,0.46673927255004266,0.18711921141862528,0.43666229488265906
1,1,0.2,0.2,2,1,dual,2,2,5585,0.5463141122164271,0.2773573426614537,0.26895676955497344,0.5115299564873035
2,1,0.4,0.2,3,1,dual,3,3,5585,0.4632904609666941,0.19306594553861994,0.270224515428074,0.4870784954216346
3,1,0.6000000000000001,0.2,4,1,dual,4,4,5585,0.399976894292529,0.14799095312329913,0.2519859411692298,0.45281562450985435
4,1,0.8,0.2,5,1,dual,5,5,5585,0.3486325381526059,0.11969975424527922,0.2289327839073267,0.42328871124678125
5,1,1.0,0.2,6,1,dual,6,6,5585,0.3072749468178022,0.10469595876112661,0.20257898805667557,0.39130872314826654
0,2,0.0,0.4,2,2,dual,2,2,5585,0.5463141122164271,0.2773573426614537,0.26895676955497344,0.5115299564873035
1,2,0.2,0.4,3,2,dual,3,3,5585,0.4632904609666941,0.19306594553861994,0.270224515428074,0.4870784954216346
2,2,0.4,0.4,4,2,dual,4,4,5585,0.399976894292529,0.14799095312329913,0.2519859411692298,0.45281562450985435
3,2,0.6000000000000001,0.4,5,2,dual,5,5,5585,0.3486325381526059,0.11969975424527922,0.2289327839073267,0.42328871124678125
4,2,0.8,0.4,6,2,dual,6,6,5585,0.3072749468178022,0.10469595876112661,0.20257898805667557,0.39130872314826654
5,2,1.0,0.4,7,2,dual,7,7,5585,0.27192150138682497,0.09422200815315152,0.17769949323367343,0.35513932349599703
0,3,0.0,0.6000000000000001,3,3,dual,3,3,5585,0.4632904609666941,0.19306594553861994,0.270224515428074,0.4870784954216346
1,3,0.2,0.6000000000000001,4,3,dual,4,4,5585,0.399976894292529,0.14799095312329913,0.2519859411692298,0.45281562450985435
2,3,0.4,0.6000000000000001,5,3,dual,5,5,5585,0.3486325381526059,0.11969975424527922,0.2289327839073267,0.42328871124678125
3,3,0.6000000000000001,0.6000000000000001,6,3,dual,6,6,5585,0.3072749468178022,0.10469595876112661,0.20257898805667557,0.39130872314826654
4,3,0.8,0.6000000000000001,7,3,dual,7,7,5585,0.27192150138682497,0.09422200815315152,0.17769949323367343,0.35513932349599703
5,3,1.0,0.6000000000000001,8,3,dual,8,8,5585,0.24311602107906602,0.08804679389454301,0.155069227184523,0.3222645717542051
0,4,0.0,0.8,4,4,dual,4,4,5585,0.399976894292529,0.14799095312329913,0.2519859411692298,0.45281562450985435
1,4,0.2,0.8,5,4,dual,5,5,5585,0.3486325381526059,0.11969975424527922,0.2289327839073267,0.42328871124678125
2,4,0.4,0.8,6,4,dual,6,6,5585,0.3072749468178022,0.10469595876112661,0.20257898805667557,0.39130872314826654
3,4,0.6000000000000001,0.8,7,4,dual,7,7,5585,0.27192150138682497,0.09422200815315152,0.17769949323367343,0.35513932349599703
4,4,0.8,0.8,8,4,dual,8,8,5585,0.24311602107906602,0.08804679389454301,0.155069227184523,0.3222645717542051
5,4,1.0,0.8,9,4,dual,9,9,5585,0.21812854331465123,0.08066900819692359,0.13745953511772763,0.29488476464103236
