comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,no_comp,0,0,5585,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,no_comp,0,1,5585,0.46673927255004266,0.46673927255004266,0.0,0.021128021486123544
2,0,0.4,0.0,2,0,no_comp,0,2,5585,0.2773573426614537,0.2773573426614537,0.0,0.019337511190689348
3,0,0.6000000000000001,0.0,3,0,no_comp,0,3,5585,0.19306594553861994,0.19306594553861994,0.0,0.018084153983885406
4,0,0.8,0.0,4,0,no_comp,0,4,5585,0.14799095312329913,0.14799095312329913,0.0,0.01736794986571173
5,0,1.0,0.0,5,0,no_comp,0,5,5585,0.11969975424527922,0.11969975424527922,0.0,0.01647269471799463
0,1,0.0,0.2,1,1,no_comp,0,1,5585,0.46673927255004266,0.46673927255004266,0.0,0.021128021486123544
1,1,0.2,0.2,2,1,no_comp,0,2,5585,0.2773573426614537,0.2773573426614537,0.0,0.019337511190689348
2,1,0.4,0.2,3,1,no_comp,0,3,5585,0.19306594553861994,0.19306594553861994,0.0,0.018084153983885406
3,1,0.6000000000000001,0.2,4,1,no_comp,0,4,5585,0.14799095312329913,0.14799095312329913,0.0,0.01736794986571173
4,1,0.8,0.2,5,1,no_comp,0,5,5585,0.11969975424527922,0.11969975424527922,0.0,0.01647269471799463
5,1,1.0,0.2,6,1,no_comp,0,6,5585,0.10469595876112661,0.10469595876112661,0.0,0.015756490599820948
0,2,0.0,0.4,2,2,no_comp,0,2,5585,0.2773573426614537,0.2773573426614537,0.0,0.019337511190689348
1,2,0.2,0.4,3,2,no_comp,0,3,5585,0.19306594553861994,0.19306594553861994,0.0,0.018084153983885406
2,2,0.4,0.4,4,2,no_comp,0,4,5585,0.14799095312329913,0.14799095312329913,0.0,0.01736794986571173
3,2,0.6000000000000001,0.4,5,2,no_comp,0,5,5585,0.11969975424527922,0.11969975424527922,0.0,0.01647269471799463
4,2,0.8,0.4,6,2,no_comp,0,6,5585,0.10469595876112661,0.10469595876112661,0.0,0.015756490599820948
5,2,1.0,0.4,7,2,no_comp,0,7,5585,0.09422200815315152,0.09422200815315152,0.0,0.01486123545210385
0,3,0.0,0.6000000000000001,3,3,no_comp,0,3,5585,0.19306594553861994,0.19306594553861994,0.0,0.018084153983885406
1,3,0.2,0.6000000000000001,4,3,no_comp,0,4,5585,0.14799095312329913,0.14799095312329913,0.0,0.01736794986571173
2,3,0.4,0.6000000000000001,5,3,no_comp,0,5,5585,0.11969975424527922,0.11969975424527922,0.0,0.01647269471799463
3,3,0.6000000000000001,0.6000000000000001,6,3,no_comp,0,6,5585,0.10469595876112661,0.10469595876112661,0.0,0.015756490599820948
4,3,0.8,0.6000000000000001,7,3,no_comp,0,7,5585,0.09422200815315152,0.09422200815315152,0.0,0.01486123545210385
5,3,1.0,0.6000000000000001,8,3,no_comp,0,8,5585,0.08804679389454301,0.08804679389454301,0.0,0.01414503133393017
0,4,0.0,0.8,4,4,no_comp,0,4,5585,0.14799095312329913,0.14799095312329913,0.0,0.01736794986571173
1,4,0.2,0.8,5,4,no_comp,0,5,5585,0.11969975424527922,0.11969975424527922,0.0,0.01647269471799463
2,4,0.4,0.8,6,4,no_comp,0,6,5585,0.10469595876112661,0.10469595876112661,0.0,0.015756490599820948
3,4,0.6000000000000001,0.8,7,4,no_comp,0,7,5585,0.09422200815315152,0.09422200815315152,0.0,0.01486123545210385
4,4,0.8,0.8,8,4,no_comp,0,8,5585,0.08804679389454301,0.08804679389454301,0.0,0.01414503133393017
5,4,1.0,0.8,9,4,no_comp,0,9,5585,0.08066900819692359,0.08066900819692359,0.0,0.01342882721575649
