condition,packet_loss,dropout_rate,false_positive_rate,samples,steps,mean_iou,mean_baseline_iou,mean_delta_iou,mean_dynamic_iou
clean,0.0,0.0,0.0,256,4,0.5478321054690962,0.27708574908550976,0.27074635638358646,0.47331245603855854
packet_loss_0.1,0.1,0.0,0.0,256,4,0.5164502446315754,0.26700110322177534,0.24944914140980007,0.43489114433780496
packet_loss_0.2,0.2,0.0,0.0,256,4,0.47934903003756985,0.2543050068712902,0.22504402316627964,0.39148163612903697
packet_loss_0.3,0.3,0.0,0.0,256,4,0.44111929038986714,0.2442905403960313,0.19682874999383584,0.3489593160762631
packet_loss_0.5,0.5,0.0,0.0,256,4,0.3476288256142942,0.21255696224915527,0.13507186336513893,0.24972973758068662
dropout_0.05,0.0,0.05,0.0,256,4,0.5404115794627489,0.2677690155727865,0.2726425638899624,0.47636334653801693
dropout_0.1,0.0,0.1,0.0,256,4,0.5284812571067168,0.25753748791526965,0.27094376919144714,0.4735841467170009
dropout_0.2,0.0,0.2,0.0,256,4,0.48674530031765506,0.23676037875930633,0.24998492155834873,0.44363565343175926
false_positive_0.001,0.0,0.0,0.001,256,4,0.5400982286521273,0.25931002116455193,0.2807882074875754,0.4637358003222055
false_positive_0.005,0.0,0.0,0.005,256,4,0.5081746884604212,0.21398360908268524,0.29419107937773603,0.4267529177990016
