experiment_group,run,source,epoch,step,IoU,Baseline_IoU,Delta_IoU,Dynamic_IoU,Precision,Recall,F1,Accuracy
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,2,1000,0.29727829645615333,,0.02546438642565613,0.23615189184188173,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,4,2000,0.36458017869465315,,0.09276626866415602,0.24893719986488616,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,6,3000,0.4388733301339547,,0.16705942010345742,0.35299044736070834,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,8,4000,0.46030687825852035,,0.1884929682280231,0.3639785076756737,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,10,5000,0.47242050240968503,,0.20060659237918788,0.41518982384640857,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,12,6000,0.4868220816427327,,0.2150081716122356,0.4063185747989748,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,14,7000,0.49393956699997327,,0.22212565696947612,0.4239039511101142,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,15,8000,0.49556733017537813,,0.2237534201448809,0.4618092814160695,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,17,9000,0.5030032253666419,,0.23118931533614465,0.4424050473034176,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,19,10000,0.5064673023271584,,0.23465339229666124,0.45703643250489745,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,21,11000,0.5076734159798753,,0.2358595059493781,0.4375789157725283,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,23,12000,0.5121457567817489,,0.2403318467512518,0.44475018742487255,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,25,13000,0.5137995448428265,,0.24198563481232926,0.4433250919695153,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,27,14000,0.5152770920436712,,0.2434631820131741,0.4569449689467673,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,28,15000,0.515010916776038,,0.24319700674554084,0.452487267802328,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,30,16000,0.5187520174524093,,0.2469381074219122,0.464614467124453,,,,
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,30,16140,0.5153090613220851,,0.2434951512915879,0.45714220822815393,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,2,1000,0.23756980586031012,,-0.034244104170187036,0.16426454195081952,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,4,2000,0.23224053101927622,,-0.03957337901122098,0.08713632878874117,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,6,3000,0.4026765063369224,,0.13086259630642524,0.32263654644667816,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,8,4000,0.5088893218405544,,0.23707541181005723,0.4220378374225257,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,10,5000,0.5377044030257966,,0.26589049299529954,0.47058212221883444,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,12,6000,0.5591984553149166,,0.28738454528441953,0.49759133873285116,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,14,7000,0.5652870443781514,,0.2934731343476542,0.537440146915461,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,15,8000,0.5774304650757979,,0.3056165550453007,0.5294835861097477,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,17,9000,0.5814628689120367,,0.30964895888153954,0.5342567263557014,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,19,10000,0.5861493292727231,,0.3143354192422259,0.5488090158785861,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,21,11000,0.5867272631250454,,0.3149133530945482,0.5461743194560322,,,,
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,23,12000,0.593479601518405,,0.3216656914879077,0.545934074212257,,,,
