setting,condition,samples,steps,mean_iou,mean_baseline_iou,mean_delta_iou,mean_dynamic_iou
T10_n5_ckpt16000,clean,256,4,0.5478,0.2771,0.2707,0.4733
T10_n5_ckpt16000,packet_loss_0.1,256,4,0.5165,0.2670,0.2494,0.4349
T10_n5_ckpt16000,packet_loss_0.2,256,4,0.4793,0.2543,0.2250,0.3915
T10_n5_ckpt16000,packet_loss_0.3,256,4,0.4411,0.2443,0.1968,0.3490
T10_n5_ckpt16000,packet_loss_0.5,256,4,0.3476,0.2126,0.1351,0.2497
T10_n5_ckpt16000,dropout_0.05,256,4,0.5404,0.2678,0.2726,0.4764
T10_n5_ckpt16000,dropout_0.1,256,4,0.5285,0.2575,0.2709,0.4736
T10_n5_ckpt16000,dropout_0.2,256,4,0.4867,0.2368,0.2500,0.4436
T10_n5_ckpt16000,false_positive_0.001,256,4,0.5401,0.2593,0.2808,0.4637
T10_n5_ckpt16000,false_positive_0.005,256,4,0.5082,0.2140,0.2942,0.4268
T10_n10_ckpt15000,clean,256,9,0.4057,0.1709,0.2348,0.4291
T10_n10_ckpt15000,packet_loss_0.1,256,9,0.3840,0.1659,0.2182,0.3998
T10_n10_ckpt15000,packet_loss_0.2,256,9,0.3562,0.1592,0.1969,0.3630
T10_n10_ckpt15000,packet_loss_0.3,256,9,0.3261,0.1540,0.1721,0.3267
T10_n10_ckpt15000,packet_loss_0.5,256,9,0.2569,0.1366,0.1203,0.2413
T10_n10_ckpt15000,dropout_0.05,256,9,0.4023,0.1655,0.2368,0.4306
T10_n10_ckpt15000,dropout_0.1,256,9,0.3956,0.1595,0.2361,0.4258
T10_n10_ckpt15000,dropout_0.2,256,9,0.3742,0.1471,0.2271,0.4050
T10_n10_ckpt15000,false_positive_0.001,256,9,0.4034,0.1612,0.2422,0.4213
T10_n10_ckpt15000,false_positive_0.005,256,9,0.3833,0.1357,0.2476,0.3755
