split,agent,scene,frames,first_frame_idx,last_frame_idx,max_contiguous_gap,mean_occupied_cells,min_occupied_cells,max_occupied_cells
train,agent_infrastructure,0,84,0,83,1,892.1071428571429,641,1171
train,agent_infrastructure,1,104,84,187,1,193.09615384615384,136,235
train,agent_infrastructure,2,2,188,189,1,241.5,220,263
train,agent_infrastructure,3,12,190,201,1,402.75,363,448
train,agent_infrastructure,4,150,202,351,1,535.92,326,746
train,agent_infrastructure,5,22,352,373,1,334.40909090909093,313,359
train,agent_infrastructure,6,43,374,416,1,586.6976744186046,501,648
train,agent_infrastructure,7,94,417,510,1,348.8829787234043,148,494
train,agent_infrastructure,8,63,511,573,1,463.015873015873,286,649
train,agent_infrastructure,9,159,574,732,1,140.24528301886792,81,234
train,agent_infrastructure,10,220,733,952,1,1162.45,877,1420
train,agent_infrastructure,11,213,953,1165,1,856.3615023474179,679,1073
train,agent_infrastructure,12,165,1166,1330,1,463.24242424242425,316,624
train,agent_infrastructure,13,182,1331,1512,1,1107.8076923076924,757,1457
train,agent_infrastructure,14,62,1513,1574,1,538.3064516129032,334,1024
train,agent_infrastructure,15,6,1575,1580,1,461.0,429,516
train,agent_infrastructure,16,182,1581,1762,1,925.4560439560439,608,1103
train,agent_infrastructure,17,202,1763,1964,1,1228.3910891089108,884,1531
train,agent_infrastructure,18,227,1965,2191,1,1452.215859030837,1011,2359
train,agent_infrastructure,19,178,2192,2369,1,1952.9662921348315,1666,2339
train,agent_infrastructure,20,20,2370,2389,1,1062.7,941,1260
train,agent_infrastructure,21,71,2390,2460,1,1094.338028169014,971,1303
train,agent_infrastructure,22,142,2461,2602,1,1290.7042253521126,1085,1663
train,agent_infrastructure,23,214,2603,2816,1,1756.6542056074766,1048,2858
train,agent_infrastructure,24,476,2817,3292,1,1560.2478991596638,787,1987
train,agent_infrastructure,25,212,3293,3504,1,1175.1462264150944,952,1506
train,agent_infrastructure,26,182,3505,3686,1,972.8736263736264,651,1273
train,agent_infrastructure,27,176,3687,3862,1,505.95454545454544,328,1136
train,agent_infrastructure,28,152,3863,4014,1,312.2763157894737,188,487
train,agent_infrastructure,29,192,4015,4206,1,1076.640625,605,1945
train,agent_infrastructure,30,173,4207,4379,1,826.0578034682081,485,1284
train,agent_infrastructure,31,141,4380,4520,1,991.9929078014185,675,1301
