comm_delay_frames,comp_delay_frames,remote_rollout_frames,local_rollout_frames,comm_delay_s,comp_delay_s
0,0,0,0,0.0,0.0
1,0,1,0,0.2,0.0
2,0,2,0,0.4,0.0
3,0,3,0,0.6000000000000001,0.0
4,0,4,0,0.8,0.0
5,0,5,0,1.0,0.0
0,1,1,1,0.0,0.2
1,1,2,1,0.2,0.2
2,1,3,1,0.4,0.2
3,1,4,1,0.6000000000000001,0.2
4,1,5,1,0.8,0.2
5,1,6,1,1.0,0.2
0,2,2,2,0.0,0.4
1,2,3,2,0.2,0.4
2,2,4,2,0.4,0.4
3,2,5,2,0.6000000000000001,0.4
4,2,6,2,0.8,0.4
5,2,7,2,1.0,0.4
0,3,3,3,0.0,0.6000000000000001
1,3,4,3,0.2,0.6000000000000001
2,3,5,3,0.4,0.6000000000000001
3,3,6,3,0.6000000000000001,0.6000000000000001
4,3,7,3,0.8,0.6000000000000001
5,3,8,3,1.0,0.6000000000000001
0,4,4,4,0.0,0.8
1,4,5,4,0.2,0.8
2,4,6,4,0.4,0.8
3,4,7,4,0.6000000000000001,0.8
4,4,8,4,0.8,0.8
5,4,9,4,1.0,0.8
