run,epoch,step,IoU,Delta_IoU,Dynamic_IoU,source
T10_n10,30,24600,0.7243048657971335,0.05586631390894782,0.3331916452056823,runs/revision_vspm_sensitivity/T10_n10/checkpoints/wandb_logs.txt
T10_n15,30,46200,0.7074549856625457,0.054947815161286814,0.31093412962729067,runs/revision_vspm_sensitivity/T10_n15/checkpoints/wandb_logs.txt
T10_n3,30,13350,0.7678427435453913,0.055828536700114645,0.3413326445326609,runs/revision_vspm_sensitivity/T10_n3/checkpoints/wandb_logs.txt
T10_n5,30,13050,0.7512806469663724,0.05702483467731593,0.33557834837644596,runs/revision_vspm_sensitivity/T10_n5/checkpoints/wandb_logs.txt
T20_n5,30,23100,0.7496363581294815,0.05808305618430399,0.32974307449049695,runs/revision_vspm_sensitivity/T20_n5/checkpoints/wandb_logs.txt
T30_n5,30,40200,0.7517555016848291,0.059650754952186164,0.3325942261063094,runs/revision_vspm_sensitivity/T30_n5/checkpoints/wandb_logs.txt
T5_n5,30,13800,0.750470079326689,0.05402613065358224,0.3203579264702201,runs/revision_vspm_sensitivity/T5_n5/checkpoints/wandb_logs.txt
baseline,30,13050,0.7487611696502056,0.054505357361149004,0.3295880194825385,runs/revision_mst_ablation/baseline/checkpoints/wandb_logs.txt
bottleneck12,30,13050,0.7192760261310382,0.025020213841981623,0.09864430729489171,runs/revision_mst_ablation/bottleneck12/checkpoints/wandb_logs.txt
ds64_fp16,30,13050,0.7200180805709846,0.025762268281928128,0.0914149674267842,runs/revision_mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt
gru_fp16,30,13050,0.7462386762674973,0.0519828639784408,0.3074807626211741,runs/revision_mst_ablation/gru_fp16/checkpoints/wandb_logs.txt
