condition,packet_loss,dropout_rate,false_positive_rate,samples,steps,mean_iou,mean_baseline_iou,mean_delta_iou,mean_dynamic_iou
clean,0.0,0.0,0.0,256,4,0.788359454219502,0.7366177527182839,0.05174170150121815,0.385761616632462
packet_loss_0.1,0.1,0.0,0.0,256,4,0.784941296769708,0.7355998548677524,0.04934144190195566,0.3733520421795402
packet_loss_0.2,0.2,0.0,0.0,256,4,0.7813209020984913,0.7346924858774535,0.04662841622103775,0.35884102021438696
packet_loss_0.3,0.3,0.0,0.0,256,4,0.7765067672179717,0.7334484632602195,0.04305830395775223,0.3409035692545409
packet_loss_0.5,0.5,0.0,0.0,256,4,0.7652445006089936,0.7293229351439313,0.03592156546506231,0.2871003356799977
dropout_0.05,0.0,0.05,0.0,256,4,0.7866166161215583,0.7040733709824043,0.08254324513915401,0.4677067707750292
dropout_0.1,0.0,0.1,0.0,256,4,0.7834902782804991,0.6713075274392024,0.1121827508412967,0.5227426149647256
dropout_0.2,0.0,0.2,0.0,256,4,0.7679212404455351,0.6042798932272933,0.16364134721824186,0.5714525699716699
false_positive_0.001,0.0,0.0,0.001,256,4,0.7869997674466165,0.7261694055488919,0.060830361897724616,0.3765316287507464
false_positive_0.005,0.0,0.0,0.005,256,4,0.7820026788783292,0.6871182745463482,0.09488440433198098,0.34308810828849834
