condition,packet_loss,dropout_rate,false_positive_rate,samples,steps,mean_iou,mean_baseline_iou,mean_delta_iou,mean_dynamic_iou
clean,0.0,0.0,0.0,2,4,0.8460404641730916,0.7947791876186167,0.05126127655447499,0.4442828455664425
packet_loss_0.1,0.1,0.0,0.0,2,4,0.8458342776310914,0.7947791876186167,0.05105509001247477,0.4427013988386587
packet_loss_0.2,0.2,0.0,0.0,2,4,0.8452491956343436,0.7947791876186167,0.050470008015726986,0.43315090543808976
packet_loss_0.3,0.3,0.0,0.0,2,4,0.8447022240996533,0.7947791876186167,0.04992303648103669,0.4301835101841771
packet_loss_0.5,0.5,0.0,0.0,2,4,0.8205674587323546,0.7908404058863361,0.02972705284601851,0.24042775323096982
dropout_0.05,0.0,0.05,0.0,2,4,0.845248705307196,0.7620771473680358,0.0831715579391602,0.5301759751004239
dropout_0.1,0.0,0.1,0.0,2,4,0.8424416037273328,0.7257299757402706,0.11671162798706214,0.592358511372072
dropout_0.2,0.0,0.2,0.0,2,4,0.829604826624067,0.650164684791535,0.17944014183253199,0.6521566341480984
false_positive_0.001,0.0,0.0,0.001,2,4,0.8444232452983291,0.783880255770808,0.06054298952752113,0.43732406894244036
false_positive_0.005,0.0,0.0,0.005,2,4,0.8397007041187208,0.7449606330445849,0.09474007107413585,0.4030773267982912
