condition,packet_loss,dropout_rate,false_positive_rate,samples,mean_iou,mean_baseline_iou,mean_delta_iou,mean_dynamic_iou
clean,0.000,0.000,0.0000,256,0.7884,0.7366,0.0517,0.3858
packet_loss_0.1,0.100,0.000,0.0000,256,0.7849,0.7356,0.0493,0.3734
packet_loss_0.2,0.200,0.000,0.0000,256,0.7813,0.7347,0.0466,0.3588
packet_loss_0.3,0.300,0.000,0.0000,256,0.7765,0.7334,0.0431,0.3409
packet_loss_0.5,0.500,0.000,0.0000,256,0.7652,0.7293,0.0359,0.2871
dropout_0.05,0.000,0.050,0.0000,256,0.7866,0.7041,0.0825,0.4677
dropout_0.1,0.000,0.100,0.0000,256,0.7835,0.6713,0.1122,0.5227
dropout_0.2,0.000,0.200,0.0000,256,0.7679,0.6043,0.1636,0.5715
false_positive_0.001,0.000,0.000,0.0010,256,0.7870,0.7262,0.0608,0.3765
false_positive_0.005,0.000,0.000,0.0050,256,0.7820,0.6871,0.0949,0.3431
