experiment_group,run,kind,step,checkpoint,exists,bytes,sha256
root,checkpoints_A,best,38000,model1/checkpoints_A/ckpt_38000.pth,True,346295,1760137846d8e534bbab2f91209a718b3ea8dd251d9e466b3b268c38efb62255
root,checkpoints_A,final,39420,,False,,
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_A3,best,13050,,False,,
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_A3,final,13050,,False,,
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_A4,best,13000,model1/for_paper/消融实验-2-A/checkpoints_1_for_Agent1_A4/ckpt_13000.pth,True,346295,fed8f485e0419e700271af11976c5a06649491363f1a9f6882b91a0913330919
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_A4,final,13050,,False,,
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_ABaseline,best,13000,model1/for_paper/消融实验-2-A/checkpoints_1_for_Agent1_ABaseline/ckpt_13000.pth,True,346295,eab9708c5fb11e5b091cd9aa9afc1c6f179cc8ac5b899bea09c31c20a73a4a4b
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_ABaseline,final,13000,model1/for_paper/消融实验-2-A/checkpoints_1_for_Agent1_ABaseline/ckpt_13000.pth,True,346295,eab9708c5fb11e5b091cd9aa9afc1c6f179cc8ac5b899bea09c31c20a73a4a4b
消融实验-1-baseline,checkpoints_1_for_Agent1_A,best,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_A/ckpt_13000.pth,True,346295,eab9708c5fb11e5b091cd9aa9afc1c6f179cc8ac5b899bea09c31c20a73a4a4b
消融实验-1-baseline,checkpoints_1_for_Agent1_A,final,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_A/ckpt_13000.pth,True,346295,eab9708c5fb11e5b091cd9aa9afc1c6f179cc8ac5b899bea09c31c20a73a4a4b
消融实验-1-baseline,checkpoints_1_for_Agent1_B,best,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_B/ckpt_13000.pth,True,366069,ffc14335ff19fe80ecd77f5a1e06758a79396f95110d7b6328ba67bdda52b78b
消融实验-1-baseline,checkpoints_1_for_Agent1_B,final,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_B/ckpt_13000.pth,True,366069,ffc14335ff19fe80ecd77f5a1e06758a79396f95110d7b6328ba67bdda52b78b
消融实验-1-baseline,checkpoints_1_for_Agent1_C,best,12000,,False,,
消融实验-1-baseline,checkpoints_1_for_Agent1_C,final,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_C/ckpt_13000.pth,True,366069,1beadfabef322da4baaae41d6937b5dde3174fae77e5049dfb56309e1dc3d77f
消融实验-1-baseline,checkpoints_1_for_Agent1_D,best,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_D/ckpt_13000.pth,True,366069,f17497b54768f5bc909d759792b153c9fc1e1e33fc526820e75cc9c39e2c7925
消融实验-1-baseline,checkpoints_1_for_Agent1_D,final,13000,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_D/ckpt_13000.pth,True,366069,f17497b54768f5bc909d759792b153c9fc1e1e33fc526820e75cc9c39e2c7925
消融实验-1-baseline,checkpoints_1_for_Agent1_baseline,best,13050,,False,,
消融实验-1-baseline,checkpoints_1_for_Agent1_baseline,final,13050,,False,,
消融实验-2-A,checkpoints_1_for_Agent1_A1,best,13000,model1/消融实验-2-A/checkpoints_1_for_Agent1_A1/ckpt_13000.pth,True,346295,1dfb70f09e4c26de421ecced13a4414c90aab7ba9b0029fbe1c730e0732f2147
消融实验-2-A,checkpoints_1_for_Agent1_A1,final,13050,,False,,
消融实验-2-A,checkpoints_1_for_Agent1_A2,best,13000,model1/消融实验-2-A/checkpoints_1_for_Agent1_A2/ckpt_13000.pth,True,346295,836c45b7c86d965441e70e3dfd1679e99180602822eca45cc70689b3b6d4b62c
消融实验-2-A,checkpoints_1_for_Agent1_A2,final,13050,,False,,
消融实验-2-A,checkpoints_1_for_Agent1_A3,best,13050,,False,,
消融实验-2-A,checkpoints_1_for_Agent1_A3,final,13050,,False,,
消融实验-2-A,checkpoints_1_for_Agent1_A4,best,13000,model1/消融实验-2-A/checkpoints_1_for_Agent1_A4/ckpt_13000.pth,True,346295,fed8f485e0419e700271af11976c5a06649491363f1a9f6882b91a0913330919
消融实验-2-A,checkpoints_1_for_Agent1_A4,final,13050,,False,,
消融实验-2-A,checkpoints_1_for_Agent1_ABaseline,best,13000,model1/消融实验-2-A/checkpoints_1_for_Agent1_ABaseline/ckpt_13000.pth,True,346295,eab9708c5fb11e5b091cd9aa9afc1c6f179cc8ac5b899bea09c31c20a73a4a4b
消融实验-2-A,checkpoints_1_for_Agent1_ABaseline,final,13000,model1/消融实验-2-A/checkpoints_1_for_Agent1_ABaseline/ckpt_13000.pth,True,346295,eab9708c5fb11e5b091cd9aa9afc1c6f179cc8ac5b899bea09c31c20a73a4a4b
通用模型对比实验_baseline,checkpoints_1234_for_Agent5,best,44000,model1/通用模型对比实验_baseline/checkpoints_1234_for_Agent5/ckpt_44000_h.pth,True,366069,371169093ab8a29f53690fc0b8fc9643cc953444f577c22162cff3a650a7c520
通用模型对比实验_baseline,checkpoints_1234_for_Agent5,final,44880,,False,,
通用模型对比实验_baseline,checkpoints_1235_for_Agent4,best,33000,model1/通用模型对比实验_baseline/checkpoints_1235_for_Agent4/ckpt_33000_h.pth,True,366069,4406dab50eaa95bd53f0e7f1990a96156ec5b600a690da55896b5228b5256679
通用模型对比实验_baseline,checkpoints_1235_for_Agent4,final,39000,model1/通用模型对比实验_baseline/checkpoints_1235_for_Agent4/ckpt_39000.pth,True,366069,26e1d43d8a71e1fa74cb7d66cc88ab75677819c6ae44b3af1acb807736b9757f
通用模型对比实验_baseline,checkpoints_1245_for_Agent3,best,35250,,False,,
通用模型对比实验_baseline,checkpoints_1245_for_Agent3,final,35250,,False,,
