scene,interval,last_input_frame,target_frame,iou,baseline_iou
8,1,19,20,0.706636,0.735360
8,2,19,21,0.615173,0.632528
8,3,19,22,0.549436,0.550251
8,4,19,23,0.510308,0.507086
8,5,19,24,0.482913,0.480839
8,6,19,25,0.473266,0.462142
8,7,19,26,0.468540,0.457793
8,8,19,27,0.451440,0.444690
8,9,19,28,0.422275,0.421091
8,1,20,21,0.678232,0.706104
8,2,20,22,0.597662,0.586796
8,3,20,23,0.553220,0.530411
8,4,20,24,0.525714,0.495756
8,5,20,25,0.514178,0.464366
8,6,20,26,0.511804,0.467210
8,7,20,27,0.496680,0.447899
8,8,20,28,0.462837,0.427009
8,9,20,29,0.451870,0.409491
8,1,21,22,0.685009,0.669699
8,2,21,23,0.617026,0.560661
8,3,21,24,0.579846,0.514464
8,4,21,25,0.556623,0.472909
8,5,21,26,0.553899,0.465795
8,6,21,27,0.535975,0.460575
8,7,21,28,0.506366,0.435596
8,8,21,29,0.490408,0.416561
8,9,21,30,0.478765,0.410638
8,1,22,23,0.694498,0.649268
8,2,22,24,0.648591,0.547970
8,3,22,25,0.615610,0.499330
8,4,22,26,0.586830,0.472127
8,5,22,27,0.558818,0.468463
8,6,22,28,0.537589,0.452108
8,7,22,29,0.520682,0.424122
8,8,22,30,0.509649,0.417100
8,9,22,31,0.483192,0.394838
8,1,23,24,0.707959,0.630898
8,2,23,25,0.656610,0.538732
8,3,23,26,0.618277,0.491775
8,4,23,27,0.588708,0.466778
8,5,23,28,0.564634,0.458310
8,6,23,29,0.547136,0.436443
8,7,23,30,0.531999,0.419303
8,8,23,31,0.506873,0.406415
8,9,23,32,0.489366,0.394709
8,1,24,25,0.716086,0.605467
8,2,24,26,0.650987,0.529700
8,3,24,27,0.612837,0.486614
8,4,24,28,0.579613,0.475416
8,5,24,29,0.555712,0.453826
8,6,24,30,0.540052,0.427930
8,7,24,31,0.523557,0.419883
8,8,24,32,0.513989,0.403277
8,9,24,33,0.494630,0.388398
8,1,25,26,0.707591,0.592097
8,2,25,27,0.653878,0.511327
8,3,25,28,0.600724,0.480253
8,4,25,29,0.577822,0.469165
8,5,25,30,0.550433,0.439187
8,6,25,31,0.527351,0.425177
8,7,25,32,0.523333,0.414535
8,8,25,33,0.506559,0.403094
8,9,25,34,0.491825,0.388442
8,1,26,27,0.701493,0.579137
8,2,26,28,0.640263,0.511994
8,3,26,29,0.603159,0.479745
8,4,26,30,0.570378,0.456214
8,5,26,31,0.545188,0.431830
8,6,26,32,0.544239,0.427392
8,7,26,33,0.525000,0.409827
8,8,26,34,0.509868,0.396567
8,9,26,35,0.479384,0.374957
8,1,27,28,0.694162,0.573320
8,2,27,29,0.630474,0.501318
8,3,27,30,0.591812,0.480783
8,4,27,31,0.558317,0.445781
8,5,27,32,0.556342,0.434899
8,6,27,33,0.543145,0.419519
8,7,27,34,0.523909,0.406153
8,8,27,35,0.501610,0.386406
8,9,27,36,0.466654,0.372351
8,1,28,29,0.683458,0.552335
8,2,28,30,0.623159,0.494503
8,3,28,31,0.570922,0.465988
8,4,28,32,0.557027,0.447525
8,5,28,33,0.540830,0.424248
8,6,28,34,0.531165,0.414206
8,7,28,35,0.507110,0.402007
8,8,28,36,0.478613,0.378629
8,9,28,37,0.454050,0.371261
8,1,29,30,0.687448,0.553879
8,2,29,31,0.610405,0.487468
8,3,29,32,0.572742,0.471222
8,4,29,33,0.553171,0.441914
8,5,29,34,0.540856,0.433796
8,6,29,35,0.522371,0.408050
8,7,29,36,0.493668,0.395325
8,8,29,37,0.464239,0.374727
8,9,29,38,0.448391,0.374875
8,1,30,31,0.682441,0.538885
8,2,30,32,0.606366,0.487868
8,3,30,33,0.573130,0.463445
8,4,30,34,0.549727,0.437390
8,5,30,35,0.528350,0.423238
8,6,30,36,0.511094,0.398673
8,7,30,37,0.480000,0.382026
8,8,30,38,0.457921,0.387704
8,9,30,39,0.441558,0.375103
8,1,31,32,0.677159,0.532216
8,2,31,33,0.600000,0.485662
8,3,31,34,0.565764,0.450079
8,4,31,35,0.536997,0.428298
8,5,31,36,0.519787,0.410348
8,6,31,37,0.497923,0.390696
8,7,31,38,0.474273,0.379425
8,8,31,39,0.454664,0.374959
8,9,31,40,0.439156,0.362314
8,1,32,33,0.671993,0.530260
8,2,32,34,0.589945,0.481161
8,3,32,35,0.544593,0.446154
8,4,32,36,0.531923,0.433792
8,5,32,37,0.508092,0.406458
8,6,32,38,0.492382,0.399290
8,7,32,39,0.473984,0.382534
8,8,32,40,0.455083,0.375165
8,9,32,41,0.428232,0.369879
8,1,33,34,0.656843,0.520875
8,2,33,35,0.571762,0.472187
8,3,33,36,0.539973,0.435769
8,4,33,37,0.516105,0.423540
8,5,33,38,0.497037,0.399966
8,6,33,39,0.481610,0.390179
8,7,33,40,0.459996,0.375514
8,8,33,41,0.437205,0.367583
8,9,33,42,0.426382,0.360473
8,1,34,35,0.645369,0.512605
8,2,34,36,0.567994,0.466854
8,3,34,37,0.527929,0.431221
8,4,34,38,0.505458,0.411755
8,5,34,39,0.485881,0.399469
8,6,34,40,0.460579,0.386528
