experiment_group,run,source,points,first_step,last_step,best_step,best_IoU,best_Delta_IoU,best_Dynamic_IoU,final_IoU,final_Delta_IoU,final_Dynamic_IoU
root,checkpoints_A,model1/checkpoints_A/wandb_logs.txt,40,1000,39420,38000,0.7338105619121071,0.06222112998930138,0.3470216682396145,0.7335529361454962,0.06196350422269037,0.3444853299254656
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_A3,model1/for_paper/消融实验-2-A/checkpoints_1_for_Agent1_A3/wandb_logs.txt,14,1000,13050,13050,0.7451846825936794,0.053600853020310577,0.3332790299944658,0.7451846825936794,0.053600853020310577,0.3332790299944658
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_A4,model1/for_paper/消融实验-2-A/checkpoints_1_for_Agent1_A4/wandb_logs.txt,14,1000,13050,13000,0.7408910332466929,0.04930720367332399,0.28444782282063596,0.7393135914061232,0.04772976183275446,0.2966126559800781
for_paper/消融实验-2-A,checkpoints_1_for_Agent1_ABaseline,model1/for_paper/消融实验-2-A/checkpoints_1_for_Agent1_ABaseline/wandb_logs.txt,13,1000,13000,13000,0.7486977582155291,0.057113928642160416,0.3385158033547368,0.7486977582155291,0.057113928642160416,0.3385158033547368
消融实验-1-baseline,checkpoints_1_for_Agent1_A,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_A/wandb_logs.txt,13,1000,13000,13000,0.7486977582155291,0.057113928642160416,0.3385158033547368,0.7486977582155291,0.057113928642160416,0.3385158033547368
消融实验-1-baseline,checkpoints_1_for_Agent1_B,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_B/wandb_logs.txt,13,1000,13000,13000,0.746009351020981,0.05442552144761219,0.32496993765683446,0.746009351020981,0.05442552144761219,0.32496993765683446
消融实验-1-baseline,checkpoints_1_for_Agent1_C,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_C/wandb_logs.txt,13,1000,13000,12000,0.7448119161445707,0.05322808657120186,0.3305432592552645,0.7444980805740592,0.0529142510006904,0.34141774973796346
消融实验-1-baseline,checkpoints_1_for_Agent1_D,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_D/wandb_logs.txt,13,1000,13000,13000,0.7440198805169359,0.05243605094356722,0.3647106540607829,0.7440198805169359,0.05243605094356722,0.3647106540607829
消融实验-1-baseline,checkpoints_1_for_Agent1_baseline,model1/消融实验-1-baseline/checkpoints_1_for_Agent1_baseline/wandb_logs.txt,14,1000,13050,13050,0.7480041073068048,0.05642027773343598,0.33028920494680586,0.7480041073068048,0.05642027773343598,0.33028920494680586
消融实验-2-A,checkpoints_1_for_Agent1_A1,model1/消融实验-2-A/checkpoints_1_for_Agent1_A1/wandb_logs.txt,14,1000,13050,13000,0.7486849064952348,0.057101076921866015,0.34004328864664124,0.7483569086136792,0.05677307904031026,0.3369905508123132
消融实验-2-A,checkpoints_1_for_Agent1_A2,model1/消融实验-2-A/checkpoints_1_for_Agent1_A2/wandb_logs.txt,14,1000,13050,13000,0.7435830935663448,0.05199926399297604,0.35293359017884807,0.7435733728298217,0.05198954325645294,0.3603886669219785
消融实验-2-A,checkpoints_1_for_Agent1_A3,model1/消融实验-2-A/checkpoints_1_for_Agent1_A3/wandb_logs.txt,14,1000,13050,13050,0.7451846825936794,0.053600853020310577,0.3332790299944658,0.7451846825936794,0.053600853020310577,0.3332790299944658
消融实验-2-A,checkpoints_1_for_Agent1_A4,model1/消融实验-2-A/checkpoints_1_for_Agent1_A4/wandb_logs.txt,14,1000,13050,13000,0.7408910332466929,0.04930720367332399,0.28444782282063596,0.7393135914061232,0.04772976183275446,0.2966126559800781
消融实验-2-A,checkpoints_1_for_Agent1_ABaseline,model1/消融实验-2-A/checkpoints_1_for_Agent1_ABaseline/wandb_logs.txt,13,1000,13000,13000,0.7486977582155291,0.057113928642160416,0.3385158033547368,0.7486977582155291,0.057113928642160416,0.3385158033547368
通用模型对比实验_baseline,checkpoints_1234_for_Agent5,model1/通用模型对比实验_baseline/checkpoints_1234_for_Agent5/wandb_logs.txt,45,1000,44880,44000,0.7433298649920631,0.0641316169691779,0.36726917580815804,0.7426816084198661,0.06348336039698077,0.35987403960831654
通用模型对比实验_baseline,checkpoints_1235_for_Agent4,model1/通用模型对比实验_baseline/checkpoints_1235_for_Agent4/wandb_logs.txt,39,1000,39000,33000,0.7972069278610519,0.06035893312382191,0.39299688861558935,0.7967186570177633,0.059870662280533345,0.39250340780445175
通用模型对比实验_baseline,checkpoints_1245_for_Agent3,model1/通用模型对比实验_baseline/checkpoints_1245_for_Agent3/wandb_logs.txt,36,1000,35250,35250,0.7553286084367625,0.06231459711100517,0.364514902895871,0.7553286084367625,0.06231459711100517,0.364514902895871
通用模型对比实验_baseline,checkpoints_1345_for_Agent2,model1/通用模型对比实验_baseline/checkpoints_1345_for_Agent2/wandb_logs.txt,34,1000,34000,33000,0.7399638529111433,0.06219461590805382,0.3455238729750554,0.7391410992667502,0.061371862263660815,0.3411936650556649
通用模型对比实验_baseline,checkpoints_2345_for_Agent1,model1/通用模型对比实验_baseline/checkpoints_2345_for_Agent1/wandb_logs.txt,31,1000,31000,27000,0.7491468293967255,0.05756299982335678,0.3286562597217033,0.7482370730096425,0.05665324343627381,0.3159598760531037
